,Post,Labels Set
10,"RT @_Pb_swain_ মডিজি এবং যখন সারা দেশ সেনাবাহিনীর সাথে খাদি হপার দুটি সায়ান বিদেশে পড়েছে, তাই কথা বলছে বিদেশি মায়ের সন্তান কখনো পৃথিবী না...",hate
11,RT @ShilpiSinghINC 48000 বাড়ি ধ্বংস করার আদেশ এসেছে কেউ কোনও বিষয় নেই!বিশ্বাসীদের 5 থেকে 1 বাড়ির কোনও অবৈধ অংশও একটি...,offensive
12,যখন BJP রিপোর্টার @sambitswaraj কংগ্রেস রিপোর্টার @SupriyaShrinate বললেন হেড মিস্ট্রেস তাহলে শুনুন কংগ্রেস রিপোর্টার কি উত্তর দিল#হলা_বোল @anjanaomkashyap #RE https//tco/WWDYuWikCE,non-hostile
13,বিয়ার গ্রিলস সঙ্গে বিপজ্জনক জঙ্গলে দেখতে হবে अक्षय कुमार जारी Video@akshaykumar@BearGryllshttps//tco/VPLwEQsqAv,non-hostile
14,আজম কানের মেয়েকে সসুর ধর্ষণ করেছিলেন. এখন quatation এটাই উঠে আসছে যা হবে শিশু আজম কানের রিয়াল দামদকে কী বলবে।,offensive
15,কংগ্রেসের মূল কংগ্রেসের কংগ্রেসের কংগ্রেসের রানুথ বিহার নির্বাচনে भाजपाকে প্রচার করবে! #NATIONALNEWS,fake
16,Home আইসোলেশনের লোকেরা তাপমিটার এবং পলস অক্সিমিটার সঙ্গে রাখুন. যদি কেউ কান্না বা গর্ভবতী অথবা দূষণ হয় তাহলে অবিলম্বে সাহায্য লাইন নম্বর 18001805145 বা @CMHelpline1076 এ যোগাযোগ করুন ACS চিকিৎসা ও স্বাস্থ্য Mr. Amit Mohan Prasad G@ShishirGoUP,non-hostile
17,সাবেক প্রধানমন্ত্রী ডাক্তার ম্যানমোহান সিংহ ১০ রানজি রাস্তায় পৌঁছায় সাবেক প্রেসিডেন্ট প্রানভ মুকেরজিকে সম্মান দেয়#PranabMukherjee https//tco/egBXvOgC1w,non-hostile
18,IPL ছেড়ে @harbhajan_singh @ChennaiIPL অফিসার আপডেট করেছেনhttps//tco/9zFnEXdtAk#HarbhajanSingh #IPL2020 https//tco/z9Dpaffw3I,non-hostile
19,#Saharanpur চেকিং এর বর্ণনা উজ্জ্বল করার কারণে আটক 2 শতর ধর্ষণকারীকে পুলিশ আটক করেছে স্কুটি 2 টমনের মোবাইল রক্ষা করেছে জাহাত কোটভালি পুলিশ গ্রেফতার করেছে @saharanpurpol @digsaharanpur @Uppolice #policemedianews,non-hostile
20,"জাপানের নোবেল পুরস্কার পেয়ে চার বছর ধরে চীনে কাজ করেছিলেন প্রফেসর #Tasuku_Honjo, কোরোনা চীনের তৈরি একটি স্বাভাবিক নয় कृत्रिम ভাইরাস।",fake
21,দিল্লিতে হিন্দুদের এবং সিককেদের সামাজিক হত্যার জন্য ত্রাণী জহাদি গায়ের দোকানে অবৈধ অস্ত্র সরবরাহ করে মাঠে ধ্বংস করা হয়।,"fake,hate"
22,কুকুরেও একতা থাকে ধারণাগুলিতে বিরোধ থাকে কিন্তু এখনও তার মধ্যে একতা থাকে সাংবাদিকে নয় আজ পর্যন্ত নিউজ চ্যানেলের উপর অশুতুশ স্যারকে গর্ভ ব্রাতিয়া বললেন উভয় कानে তাপড় করব সেখানে বসছে সাংবাদিক রোহিত सरदाना শুনে আমি খুব দুঃখিত হয়েছি,offensive
23,প্রণব मुखर्जी 37 প্রার্থীদের সাথে সম্পর্কিত 28 ক্ষমতা চাহিদা প্রত্যাহার করেছে প্রণবের আগে প্রেসিডেন্ট রয়েছেন প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে প্রণবের আগে,non-hostile
24,লদদাকের কাছাকাছি চীন তার J-20 लड़ाकू বিমানগুলি পুনরায় तैनात করে ফ্লাইট-#IndiaChinaFaceOff https//tco/2VfWAZenTi,non-hostile
25,"তুমি জানো না, তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো না; তুমি জানো; তুমি জানো; তুমি জানো; তুমি জানো; তুমি জানো; তুমি জানো; তুমি জানো; তুমি জানো; তুমি জানো; তুমি জানো; তুমি জানো; তুমি জানো; তুমি জানো; তুমি জানো; তুমি জানো; তুমি জানো;","hate,offensive"
26,Home মন্ত্রণালয় বন ক্যান্সার থেকে লড়াই করছে অমিত শাহকে,fake
27,টুইটার পেই অনেক চুতিয়ে পাবেন যারা সালি হিন্দুদের প্রতিবাদ করে পাবেন তাদের নিজের ফ্যাক আইড আছে এখন যেমন এই চমন চুতিয়ে দেখুন পিস্টেল প্যান্ডেই নাম রাখে এবং হিন্দুদের প্রতিবাদে আন্দোলন করা হয়েছে. কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ কেউ,hate
28,@SalmanNizami_ राहुल गांधी - Maa আমি পরবর্তী 4 বছর কী করব সোনিয়া गांधी - সন্তান টিভি রিচার্জ করা হয়েছে बैठकर ছোট তিম দেখুন😂😂😂😂,defamation
29,CCTV-এ রেকর্ড করা চোরের চুরি মোট সমস্ত স্বর্ণ মুদ্রা উদ্ধার করা হয়েছে @capt_ivane @DelhiPolice #Delhi https//tco/CWo9EqedoG,non-hostile
30,টেলিভিশনে আসার আগেই এটাই খারাপ মানুষ।,fake
31,বর্তমানে এটি অসম্ভব মনে হয় যে কোন ব্যান্ড যারা পেরিয়ে গেছে এবং এখন কেউ ক্রিকেট খেলবে না সে CSK জন্য ফিরে আসবে সম্ভবত সে অ্যাকশনে ফিরে আসবে এবং কেউ অন্য দল তাদের কিনবে#CSK #SureshRainahttps//tco/1PZ3fkb8Cj,non-hostile
32,নতুন জাতীয় শিক্ষা নীতি তিন ভাষা নীতি তমিলনাদু সরকার দ্বারা বাতিল করা হয়েছে- দুই ভাষায় শুধুমাত্র হবে Amlhttps//tco/deEf7BQ4i3,non-hostile
33,ভারতের অসংগঠিত অর্থনীতির দ্বিতীয় বৃহত্তম আক্রমণ হল জএসটি राहुल गांधीhttps//tco/0CxyP0rMyU,non-hostile
34,Yogi Aditynath এর অস্বাভাবিক কাজের শুধুমাত্র প্রতিশ্রুতি যে উত্তর প্রদেশ সব বিতর্ককে পিছিয়ে রাখে সবগণিক উন্নয়নের পথে চলছে।,hate
35,@Real_Deepika_ মোডি জি এর মর সঙ্গে ছবিতে রাহুল গান্দির কোরার উত্তর 😂😂😂😂 https//tco/mb9bWDjbdP,defamation
36,শান্তিপূর্ণ দ্বারা মুহাম্মদ রাসূলের উপর বিরোধী মন্তব্যের জন্য বঙ্গলোরে আকর্ষণ এবং আমাদের এখানে #হির_হান যা নিয়মিত হিন্দু দেবতাদের গালি দেয়। যদিও প্রার্থনা শান্তিপূর্ণ ছিল!!,hate
37,JEE প্রথম পালির পরীক্ষা শেষে বাইরে গিয়েছে ছাত্ররা বলল- কোরোনা নিয়ে ভয় ছিল কিন্তু আনন্দ আমাদের এক বছর বাঁচিয়েছে https//tco/9wHy3UhO11 #JEEMain #JEE,non-hostile
38,"যখন পৃথিবীর উন্নত দেশ বহাল হয়ে গেল. এই সময়ে প্রদেশ যেমন ডটকার এই কঠিন সময়ে মুখোমুখি হয়েছিল সেটি সারাবাহিত। ইয়োগি জেরের পিতার स्वर्गवासও হয়ে গেল, কিন্তু তিনি প্রদেশের জনগণের প্রতি নিজের প্রতিবাদ প্রদর্শন করে ক্রমাগত জনগণের সেবাতে অংশগ্রহণ করেছিলেন",offensive
39,"প্রদেশের প্রেসিডেন্ট @PankajSinghAAP জি এর নেতৃত্বে আজ বোপাল জনের কর্তৃপক্ষের সম্মেলন অনুষ্ঠিত হয়, जिसमें 1 সেপ্টেম্বর থেকে শুরু হবে অক্সিজেন পরীক্ষা ক্যাম্পানির সম্পর্কিত প্রশিক্ষণ এবং অক্সিমিটার বিতরণ করা হয়েছে@ArvindKejriwal @AapKaGopalRai https//tco/6MmRnlg7Dh",non-hostile
40,স্টিফেন বেগন ভারত আমেরিকার রাজনৈতিক ও অংশগ্রহণ প্ল্যাটফর্মের নামে ভার্চুয়াল মিডিয়ার মাধ্যমে অনুষ্ঠিত তৃতীয় ভারত- আমেরিকার নেতৃত্বের সম্মেলনে এই কথা বলেন।,non-hostile
41,মানবতা কি মারা গেছে https//tco/zCq7knxxjc,non-hostile
42,শুভেচ্ছা হোক মিডি আপনার মনের কথাটি পুরো 100 হাজার ডিসলাইক পেয়েছে 😂 https//tco/BUEX28Lfpe,non-hostile
43,@LambaAlka কেজরিওয়াল ইউনিয়নের ক্লাবের সৃষ্টি হচ্ছে ইউনিয়নের ক্লাব যেভাবে হুমকি প্রদর্শন করে মিথ্যা প্রদর্শন করে তাকে থেকে এটি শিশু থেকে শিক্ষা ডিজিটাল নিয়েছে এটি তখন প্লাজমা ডোনেট করে কোরোনা পার্সেন্ট সঠিক করে এটি সব ধারাবাহিকতার মাধ্যমে দায়িত্বশীল হয়ে উঠেছে জ্ঞান নেই তার কাছে,"defamation,hate"
44,22 গ্রাম গানজার গবেষণা সিবিআই করছেন তার রিপোর্ট সম্পূর্ণ মিডিয়া করছেন ঘুমে একশো গ্রাম গানজার তাহলে বিহারের প্রধান নীতিশ কুমারের বঙ্গালার আক্রমণের উপর পাবেন কোথায় 22 গ্রামের পিছনে,defamation
45,কী কথা বললেন শারীর জি. 🙏🏻 https//tco/OSfcYiR5Vq,non-hostile
46,সুশান্ট সিংহ রাজপুতের সন্দেহজনক মৃত্যুর রাজ্য খোলা করার জন্য दिल्ली থেকে যাওয়া সিবিআইের বিশেষ 6 টিম সুশান্টের বাড়িতে ক্রিম সিনের রিক্রিয়েশন করবে#SushantSinghRajput @pramodsharma29 https//tco/SIbE07nARS,non-hostile
47,#Lkopolice @LkoCp @Uppolice #Police #PoliceLivesMatter #PoliceBrutality #PoliceReform #policemedianews https//tco/D9ZObVaNm0,non-hostile
48,ছবি বাবরি হাসপাতালের নীল প্রিন্ট দেখায়,fake
49,অ্যাম্রপালি এর 28 প্রকল্পের তালিকা অনলাইন তার বিনিয়োগকারী বা ক্রয়কারী আপনার নাম এখানে খুঁজে পেতেhttps//tco/aHcisFPei8 via @NavbharatTimes #Amrapali #Property https//tco/7OsydqiXdE,non-hostile
50,মার্কিন যুক্তরাষ্ট্রের পথ প্রদর্শন করে দিল্লি মডেলের প্লাজম থেরাপি দিল্লিতে শত শত মানুষের জীবন বাঁচিয়েছে. মানবতা এবং ভাইরাসের বার্তা দেয় পার্মজিট জি এর এই গল্প আপনাকে অবশ্যই প্রভাবিত করবে. #DonatePlasmaSaveLives https//tco/FmCuQMN7Ix,non-hostile
51,সম্প্রতি একটি হিন্দু মহিলাকে একটি কাশ্মীর মুসলিম মেয়েকে সুরি খাওয়ার উপর आरएसएसের গন্ডগুলি ভারতের आरएसएसের অস্তিত্বে আছে তাদের মিডিয়া আইন এনফোরসেমেন্ট জুডিশরি এবং জাতীয় নিরাপত্তা উপর সম্পূর্ণ নিয়ন্ত্রণ আছে কি এই দেশটি স্থিতিশীল থাকবে যদি এমনভাবে চলবে তাহলে,fake
52,পৃথিবীর একমাত্রতা এবং স্বাধীনতা রক্ষা করার জন্য বাতিল করা হয় নিবন্ধ 370副 প্রেসিডেন্ট @MVenkaiahNaidu বিস্তারিত https//tco/622CJ2Wnoj,non-hostile
53,#JNUে ঘটেছে #টোডফোডের পর #গার্লস হোস্টেলে # বিখালা হয়েছে #সামান #খানকার এখানে শিক্ষার্থীরা। অনেক দুঃখিত এই লোকদের বইগুলো দেখে সবকিছু ভেঙে গেছে।,"defamation,offensive"
54,Sudeep Birthday ইঞ্জিনিয়ারিং পড়াশোনা পরে অভিনয়ের বিশ্বে এসেছিল খাদ্য সুডিপ জানুন এবং আরও অনেক জিনিস@KicchaSudeephttps//tco/M19d7IVo8Q,non-hostile
55,#TaalThokKe রিয়া বিরুদ্ধে বড় প্রমাণ!#SushantKaSachKya উপর টুইট করুন আপনার মতামত Watch LIVE - https//tco/gfUtRWrNnZ https//tco/CM6RAyayME,non-hostile
56,আজ একটি ব্যাংকওয়েট হালে আমরা 100 বিটের কোরোনা সেন্টার শুরু করেছি. প্রতিটি বিটে অক্সিজেন রয়েছে. এখন এভাবে পুরো दिल्लीে অনেক ব্যাংকওয়েট হালে কোরোনা সেন্টার তৈরি হবে.#DelhiFightsCorona https//tco/EUnpnPlB5q,non-hostile
57,হিন্দুস্তানের ৯০ শতাংশ বিচারক দুর্বল জাস্টিস ক্যাটজু হিন্দুস্তানের পুরো ব্যবস্থা দুর্বল এবং ধ্বংস হয়ে গেছে বিপ্লবের প্রয়োজন জাস্টিস ক্যাটজু আদালত থেকে বিচারের আশা পাগল মানুষ করছেন জাস্টিস ক্যাটজু ভারতের সন্তান থেকে মন্ত্রী পর্যন্ত দুর্বল জাস্টিস ক্যাটজু দেশে বিপ্লবের প্রয়োজন,defamation
58,@KapilMishra_IND এই সাল টিকিট কালো এত সাহস लाता কোথায় থেকে,offensive
59,"RT @ShilpiSinghINC কান্নাকে সমর্থনকারী মিডিয়া আশা করছেন যে, যখন ৪৮,০০০ কান্নাকে ধ্বংস করার জন্য JCB আসবে, তখন এটিও বিরোধী হবে!",offensive
60,কার্নাটাক BJP এর CM এর প্ল্যাটফর্ম থেকেই যখন गुरु জি সিএএএকে বিরোধ করেছিলেন তখন সিএম স্যার ভেঙে উঠেছিলেন 😛 😛 এ ধরনের বি ইজিটি আপনি কখনো দেখতে পারবেন না মডেল মিডিয়ার চ্যাটুকার সাংবাদিকরা একবারও গিয়েছিলেন না তখন জারা ফেমস गुरु জিকে😂,offensive
61,বিহারে নির্বাচন সমস্যা তৈরি করে সুশান্ট সিংহ রাজপুতের মৃত্যু BJP দিয়ে দিলেন নানা ভুলে নানা ভুলে দেবে@kumarprakash4u এর রিপোর্টhttps//tco/HCp3i2VURp,non-hostile
62,বাংলাদেশে কোরোনা থেকে রোগীকে পুনরায় সংক্রমণের সন্দেহ https//tco/eU5cqZqNUb,non-hostile
63,#IndiaFightsCorona <unk>আপনীয় জায়গাগুলি টুর্নামেন্টে #Covid19 এর সংক্রমণ প্রদর্শন করে. ➡️আপনীয় জায়গাগুলি টুর্নামেন্টে টুর্নামেন্ট করা শাস্তিশীল অপরাধ। #StaySafe @drharshvardhan @PrakashJavdekar @UNinHindi@airnewsalerts @DDNewslive @PIBHindi @ndmaindia@swachhbharatVia @MoHFW_INDIA https//tco/3gV6NBv2H6,non-hostile
64,এই ছবিতে যারা লেশান সোহফা এবং বিশ্বব্যাপী ইন্টারনেট ডিজাইন হয় এটা কেউের ড্রাইং রুম নয় এটি দেশের প্রধানমন্ত্রী জন্য কিনেছিলেন বয়েং- 777 वीভিআইপি এয়ারক্রफ्ट তার সাজ টজ এবং শानो शौकत থেকে আপনি অনুমান করতে পারেন নিজেকে জনসাধারণ সার্ভার এবং চাকরী বলার কত সুন্দরতা পুরো জীবন বাঁচতে অভ্যস্ত হয়েছে. এবং এটি বিশ্বব্যাপী सुविधाগুলি সরবরাহ করা এয়ারক্রफ्ट আগস্ট বা সেপ্টেম্বর মাসে ভারতে আসবে শুধুমাত্র তারপর মডিও জি এর বিদেশে दौरे চালানোর জন্য। এতটাই আধুনিক সরঞ্জাম থেকে সরবরাহিত এই 2 বয়েং वीভিআইপি এয়ারক্রफ्ट কিনেছিলেন যে খাবার মূল্য প্রায় 8458 মিলিয়ন রকম ছিল!,fake
65,IPL আগে প্রাইভেট বাইরে খেলছে @lionsdenkxip খেলোয়াড় https//tco/WKmZJCuSpc#KXIP #IPL2020 #IPLinUAE https//tco/dXuLnXisgv,non-hostile
66,স্কুল থেকে ফিরে এসে স্কুল থেকে ফিরে এসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে আসে স্কুল থেকে ফিরে স্কুল থেকে ফিরে স্কুল থেকে ফিরে স্কুল থেকে ফিরে স্কুল থেকে ফিরে স্কুল থেকে স্কুল থেকে ফিরে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে কত স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল থেকে স্কুল,fake
67,কান্না রणावत কি মুম্বাইকে তুলনা করেছিলেন POK থেকে এখন তাদের বিরুদ্ধে দেশদ্রুতের মামলা হবে কি কান্না কারাগারে যেতে হবে কিংবা তখন জাতি এবং ধর্মের উপর নির্ভর করে তাদের ক্ষমা করা হবে?,defamation
68,কি চলমান অর্থনৈতিক বছরের প্রথম শতাব্দীতে GDP এর খারাপ তথ্যের জন্য কোরোনা কেটে দায়ী#GDP #CoronaPandemic #IndianEconomy,non-hostile
69,#Moradabad হোটেল ম্যানেজার আত্মহত্যা মামলা স্ত্রীসালি सहित 4 ব্যক্তির উপর মামলা রেজিস্ট্রেশন দূষণ অ্যাকাউন্ট সময় তৈরি করা হয়েছে ভিডিও স্ত্রী-পরিবেশীদের বললেন মৃত্যুর দায়ী সিভিল লাইন থানায় রেজিস্ট্রেশন হয়েছে মামলা @moradabadpolice @digmoradabad @Uppolice #uppinnews #UPPolice #policemedianews,non-hostile
70,"যদি দোকান থেকে 2 কিলোমিটার দূরে থাকে, তাহলে পাহাড়ে যেতে হবে।",fake
71,ভারত সরকার কৃষিতে ইউরিয়া ব্যবহারের নিষেধাজ্ঞা দেবে; কৃষিতে ইউরিয়া ব্যবহার বন্ধ করবে সরকার,fake
72,তুমি তোমার সন্তানকে কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো কখনো,fake
73,RT @aadhiIa উদ্দীপ ठाকरेের BMC সেনাবাহিনীর পোকে প্রবেশ করে আন্দোলনবাদী সংগঠনের বেশ কয়েকটি বংকার ধ্বংস করে ফেডারেল आतंकवादियों सहित পুরো লশকার-এ-নো...,hate
74,এই মুহূর্তের বড় খবর https//tco/DCIpXa2DdA,non-hostile
75,@sambitswaraj আমাদের পর্কো ৮০০ বছর ধরে রাজ করেছিলেন 👇👇 এই কথা বললে আব্বল পঞ্চার তৈরি হয়েছিল 👇👇👇,defamation
76,কংগ্রেসি চমচি - राहुल गांधी প্রতিটি সমস্যাতে মোডি জি থেকে হারিয়ে যাচ্ছে কেন 👍শাম পিট্রোडा - ঘটেছে তাই ঘটেছে 😂😂,hate
77,কোরোনার ক্রমবর্ধমান মামলা এবং পাশাপাশি ফেস্টুরেন্ট সুরক্ষা সম্পর্কে আপনার ভাবনা কি https//tco/QXENYhLTau,non-hostile
78,#Nonsense_Modi চंद्रयान মিশন স্যাসেস হতে হবে যে মূদী জি যে কারণে বিজ্ঞানীদের महीनोंের কঠিন কাজ অকার্য হয়ে গিয়েছিল সেখানে গিয়ে ডিস্টারব করেছিলেন,"defamation,hate,offensive"
79,"অতঃপর তুমি জানো না, তুমি জানো না, তুমি জানো না, তুমি জানো না, তুমি জানো না, তুমি জানো না, তুমি জানো না, তুমি জানো না, তুমি জানো না, তুমি জানো না, তুমি জানো না, তুমি জানো না।",defamation
80,পবজি গেমে যত দ্রুত হোক সরকার করো এই শিশুকে জীবন থেকে খেলছে পবজিকে নিষিদ্ধ করো পরবর্তী প্রজন্মকে জীবিত রাখো,hate
81,#IndianRailways 960 এর বেশি স্টেশনগুলি সূর্যশীল করেছে550 স্টেশনগুলির জন্য 198 মেগাওয়েট সূর্য রুফটাপ ক্ষমতা জন্য আদেশ দেওয়া হয়েছে https//tco/H7UyoXSGMK@RailMinIndia @PiyushGoyalOffc @PiyushGoyal,non-hostile
82,@LambaAlka কাশ্মীরে তাই নয় এখন ভিডিও ফটো থেকে তাই এভাবে দেখতে হয় একটু কষ্ট করে ল্যাডাক পৌঁছানো তথ্য সম্পূর্ণ পাওয়া যাবে চোখ দেখে পাওয়া যাবে সম্প্রতি জানা যাবে বিতর্ককারীদের বাস্তব ছবি দেখতে পাওয়া যাবে,hate
83,প্রত্যেক জীবন মূল্যবান.#এএএপি এর অক্সিমিটার সবার অক্সিজেন পরীক্ষা করা হয়.#4সপ্তাহ #MadhyaPradesh @ArvindKejriwal @AapKaGopalRai @AnkushNarang_ @PankajSinghAAP https//tco/PWWm3vvpOZ,non-hostile
84,दिल्लीের প্রধানমন্ত্রী @ArvindKejriwal জিরের প্রতি দায়িত্ব আজ ভারত ও পাকিস্তানের বিশ্বকাপ ম্যাচে জিতবে ভাই জিতবে *@ArvindKejriwal @SanjayAzadSln,fake
85,আইটি মন্ত্রী রভিশংকার প্রसादকে মার্ক জ্যাকারবার্গকে লিখেছিলেন - ফেসবুকের কর্মী PM मोदीকে অসম্ভব বলছেন https//tco/lORjp2gOy3,non-hostile
