,Post,Labels Set
36,शांत द्वारा मोहम्मद नबीवर विरोधाभासी टिप्पणीसाठी बांग्लादेशमध्ये अपघात आणि आमच्या येथे #हेर_खान जो नियमित हिंदू देवी-देवतांना गाली देतात. Although Prayagaj remained peaceful!!,hate
37,जेईई प्रथम पाली परीक्षा समाप्त करणाऱ्या विद्यार्थ्यांनी म्हटले- कोरोनासाठी भय होता पण आनंद आहे आमच्या एक वर्षा बचावले आहे https//tco/9wHy3UhO11 #JEEMain #JEE,non-hostile
38,जगातील विकसित देश बेहेल झाले. यावेळी प्रदेशने जे प्रकार डटकर हे कठीण क्षण सामना केले आहे ते सराहनीय आहे. योगी जीच्या वडीलचे स्वर्गवासही झाले पण त्याने प्रदेशच्या जनतेला आपल्या प्रतिबद्धता दाखवून निरंतर जनतेच्या सेवामध्ये लगेच होते.,offensive
39,प्रदेश अध्यक्ष @PankajSinghAAP जीच्या अध्यक्षतेत आज भोपाल जॉनच्या प्राधिकरणंची बैठक आयोजित करण्यात आली ज्यामध्ये 1 सप्टेंबरपासून सुरू होणार ऑक्सीजन निरीक्षण अभियानमध्ये प्रशिक्षण देण्यात आले आणि ऑक्सीमीटर वितरित करण्यात आले.@ArvindKejriwal @AapKaGopalRai https//tco/6MmRnlg7Dh,non-hostile
40,स्टीफन बेगनने भारताचा अमेरिकेचा रणनीतिक आणि साझेदारी मंच म्हणून वर्चुअल माध्यमातून आयोजित ती भारता-अमेरिका नेतृत्व शिखर सम्मेलनमध्ये हा उल्लेख केला.,non-hostile
41,मनुष्य मृत्यू झाला आहे https//tco/zCq7knxxjc,non-hostile
42,बधाई हो मोदी जीआपकी मनची बातची 100 हजार डिस्लाइक मिळाली आहेत 😂 https//tco/BUEX28Lfpe,non-hostile
43,@LambaAlka केजरीवाल संघ शाखाचा जन्म आहे संघ शाखा जे प्रकार आतंक प्रसारित आहे झूठ प्रसारित आहे त्यातून ही बचपनपासून शिक्षण दीक्षा घेतली आहे त्यातून तो प्लाज्मा डोनेट करून कोरोना परसेंट ठीक करीत होता हे सर्व भ्रष्टाचार माध्यमातून अधिकारी झाले आहे ज्ञान नाही त्याकडे,"defamation,hate"
44,22 ग्राम गांजाची निरीक्षण सीबीआई करीत आहे त्याची रिपोर्ट पूर्ण मीडिया करीत आहे सो आधा सौ ग्राम गांजा तो बिहारच्या मुख्यमंत्री नीतीश कुमारच्या बांगलाची छाप मारण्यावर मिळेल कुठे 22 ग्रामच्या पीछे पडले,defamation
45,काय म्हणाली शरार जी. 🙏🏻 https//tco/OSfcYiR5Vq,non-hostile
46,सुशांत सिंह राजपूतच्या संदिग्ध मृत्यूचा राज खोलण्यासाठी दिल्लीला गेली सीबीआयच्या विशेष 6 टीम सुशांतच्या घरात क्रीम सिन्ची रिक्रेशन करणार #SushantSinghRajput @pramodsharma29 https//tco/SIbE07nARS,non-hostile
47,#LucknowCP सुजीत पांडेय होणार प्रेस कॉन्फ्रेंस अनिवार्य मुद्देवर होणार प्रेस कॉन्फ्रेंस 3 वाजता पोलिसा लाइनमध्ये होणार प्रेस कॉन्फ्रेंस. @lkopolice @LkoCp @Uppolice #Police #PoliceLivesMatter #PoliceBrutality #PoliceReform #policemedianews https//tco/D9ZObVaNm0,non-hostile
48,चित्र बाबरी हॉस्पिटलचे ब्लू प्रिंट दिसतात.,fake
49,आमरापालीची 28 प्रोजेक्ट्सची सूची ऑनलाइन त्याचे निवेशक किंवा खरीदार आपल्या नावा इथे पाहाhttps//tco/aHcisFPei8 via @NavbharatTimes #Amrapali #Property https//tco/7OsydqiXdE,non-hostile
50,अमेरिकेला रास्ता दिलेल्या दिल्ली मॉडेलच्या प्लाज्माथेरेपीने दिल्लीमध्ये हजारो लोकांचा जीवन बचाव केला आहे. मानवता आणि भावाचे संदेश देणाऱ्या परमजीत जीची हे कथा तुम्हाला प्रेरणा देणार आहे. #DonatePlasmaSaveLives https//tco/FmCuQMN7Ix,non-hostile
51,एक हिंदू स्त्रीला एक कश्मीरी मुस्लिम मुली सहरी खाण्यावर आरएसएसच्या गुंडेने पीटा भारत आरएसएसच्या कब्जे आहे त्यांचे मीडिया लॉ एनफोर्समेंट जुडीशरी आणि राष्ट्रीय सुरक्षावर पूर्ण नियंत्रण आहे हे देश स्थिर राहणार तर असे चालणार आहे.,fake
52,देशाची एकीता अखंडता आणि स्वातंत्र्याची रक्षा करण्यासाठी समाप्त झाले अनुच्छेद 370 उपराष्ट्रपति @MVenkaiahNaidu विवरण https//tco/622CJ2Wnoj,non-hostile
53,#JNUमध्ये घडलेल्या #टॉडफोडनंतर #गर्ल्स हॉस्टलमध्ये #बिखरा झाला #सामान #धन्यवाद आहे इथेच्या विद्यार्थ्यांना.बहुत दुख झाला हे लोकांच्या पुस्तके बघून सगळं फूट झाला आहे.,"defamation,offensive"
54,Sudeep Birthday इंजिनियरिंगच्या अभ्यासानंतर कार्टिंगच्या जगात आले किच्चा सुडिप माहिती आणि अनेक रोचक गोष्टी@KicchaSudeephttps//tco/M19d7IVo8Q,non-hostile
55,#TaalThokKe रिया विरुद्ध महान साक्षी!#SushantKaSachKya वर ट्विट करा Watch LIVE - https//tco/gfUtRWrNnZ https//tco/CM6RAyayME,non-hostile
56,आज एक बँकवेट हॉलमध्ये आम्ही 100 बेडचे कोरोना सेंटर सुरू केले. प्रत्येक बेडवर ऑक्सीजन आहे. आता हे प्रकार पूर्ण दिल्लीमध्ये अनेक बैंकवेट हॉलमध्ये कोरोना सेंटर बनणार आहे. #DelhiFightsCorona https//tco/EUnpnPlB5q,non-hostile
57,हिंदुस्तानमध्ये 90% न्यायाधीश भ्रष्ट न्याय काटजू हिंदुस्तानमध्ये पूर्ण व्यवस्था भ्रष्ट आणि नष्ट झाले आहे क्रांतीची गरज न्याय काटजू न्यायालयापासून न्यायची आशा मूर्ख लोक करतात न्याय काटजू भारताच्या संतीपासून मंत्रीपर्यंत भ्रष्ट न्याय काटजू देशात क्रांतीची गरज,defamation
58,@KapilMishra_IND हे साला टिकट ब्लॅकिया इतकी हिम्मत लावतो कुठे आहे,offensive
59,RT @ShilpiSinghINC कंगनाचा समर्थन करणाऱ्या मीडियाने आशा केली आहे की जेसीबी 48000 झुग्गांना तोडण्यासाठी आले तर तिला विरोध करणार आहे!,offensive
60,कर्नाटक बीजेपीच्या सीएमच्या मंचपासून ही जेव्हा गुरु जीने सीएएला विरोध केला तेव्हा सीएम साहब भड़क उठले 😛 😛 ऐसी बे इज्जती तुम्ही कधीच दिसणार नाही दलाल मीडियाचे चटूकार पत्रकारोने एक वेळाही चालत नाही तो ज़रा फेमस गुरु जी को 😂,offensive
61,बिहारमध्ये चुनावी मुद्दा बनवले सुशांत सिंह राजपूतची मृत्यू BJPने दिली नारा न विसरले नाही न विसरले@kumarprakash4u की रिपोर्टhttps//tco/HCp3i2VURp,non-hostile
62,बेंगलुरुमध्ये कोरोना से ठीक होलेल्या रोगीला पुन्हा संक्रमण संदिग्ध https//tco/eU5cqZqNUb,non-hostile
63,#IndiaFightsCorona <unk>सार्वजनिक ठिकाणी धक्का देणे #कोविड19चा संक्रमण प्रसारित करतो.➡️सार्वजनिक ठिकाणी धक्का देणे दंडनीय अपराध आहे.#StaySafe @drharshvardhan @PrakashJavdekar @UNinHindi@airnewsalerts @DDNewslive @PIBHindi @ndmaindia@swachhbharatVia @MoHFW_INDIA https//tco/3gV6NBv2H6,non-hostile
64,या चित्रपटात कोणते हलेशान सोहफे आणि विश्वव्यापी इंटीरियर डिझाइन आहेत हे कोणाच्या ड्राइंग रूम नाही हे देशाच्या पंतप्रधानसाठी विकले बोइंग- 777 वीवीआईपी एयरक्रॉफ्ट आहे त्याचे सज धज आणि शानो शौकत से तुम्ही कल्पना करू शकता स्वतःला जनताचा सेवा आणि चौकीदार म्हणणे किती विलासिता पूर्ण आयुष्यात जिवंत आदी झाली आहे. आणि हे विश्वव्यापी सुविधांशी सुसज्जित एयरक्रॉफ्ट ऑगस्ट किंवा सप्टेंबर महिन्यात भारतात येतील बस फिर मोदी जीच्या विदेशी दौरे चालू करतात. अशा सर्व आधुनिक सुविधांशी सुसज्जित 2 बोइंग वीवीआईपी एयरक्रॉफ्ट खरेदी करतात ज्याची किंमत जवळजवळ 845 कोटी आहे.,fake
65,आईपीएलच्या प्रतीक्षापूर्वी प्राइवेट समुद्र तट पर मजे घेत आहेत @lionsdenkxipच्या खेळाडू https//tco/WKmZJCuSpc#KXIP #IPL2020 #IPLinUAE https//tco/dXuLnXisgv,non-hostile
66,विद्यार्थ्या 11 वी क्लासमध्ये वाचत होती प्रॅक्टिकल परीक्षा देण्यासाठी शाळेत गेली होती परीक्षा देकर शाळेत परत राहिली होती तर शाळेत बाहेर घातले एक मुसलमान युवती ज्याच्या आयुष्य जवळपास 25 ते 26 वर्षांनी सांगण्यात आले आहे तेथे त्वरित तलवार घेण्यात आले आणि विद्यार्थ्याच्या गलेवर वार केले.मुसलमान युवती तलवार से वार करीत हिंदू मुली पूजापुत्र शंकर लाल कोटमा अनूपगढ मध्य प्रदेशच्या हत्या करीत होते कारण त्याने तिच्या तथाकथित प्रेम जेहादी प्रेमला नकार दिला होता आम्ही हिंदू इस देशात किती लाचार आहे.,fake
67,कंगना राणावतने मुम्बईची तुलना POK से केली आहे की आता त्यांच्यावर देशभक्तीचा मुकदमा दर्ज होणार आहे का कंगना जेल जाणार आहे किंवा फिर जाति आणि धर्मानुसार त्यांना क्षमा करणार आहे.,defamation
68,कोरोना आपदा वर्तमान वित्तीय वर्षच्या पहिल्या तिमाहीमध्ये जीपीडीच्या खराब डेटासाठी जिम्मेदार आहे का#GDP #CoronaPandemic #IndianEconomy,non-hostile
69,#Moradabad हॉटेल मैनेजरच्या आत्महत्याचा मामला पत्नीसाली सहित 4 लोकांवर मामला रजिस्ट्री जहर खातेवर केले होते व्हिडिओ पत्नी-परिवार्यांना सांगितले मृत्यूचा दोषी नागरिक लाइन थांबामध्ये रजिस्ट्री झाले आहे. @moradabadpolice @digmoradabad @Uppolice #uppinnews #UPPolice #policemedianews,non-hostile
70,तितक्यात विमानात होणारी उद्घोषणा ॲनाच्या कानावर आली - विमान आयर्लंडच्या दिशेने झेपावत असल्याचे तिने ऐकलं.,fake
71,भारत सरकार खेतमध्ये यूरिया वापरला प्रतिबंध देणार आहे. खेतमध्ये आता यूरिया वापर बंद करणार सरकार,fake
72,तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा तुझा मुलगा,fake
73,RT @aadhiIa उद्धव ठाकरेच्या BMC सैन्याच्या POKमध्ये घुसकर धमकाआतंकवादी संस्थांच्या अनेक बंकर नष्ट करणाऱ्या संघवादी आतंकवाद्यांना संपूर्ण लश्कर-ए-नो...,hate
74,यावेळी मुख्य खबर https//tco/DCIpXa2DdA,non-hostile
75,@sambitswaraj आमच्या पुर्खोने 800 वर्षांपर्यंत शासन केले 👇👇 हे म्हणतात अब्दुल पंचर बनून गेला 👇👇👇,defamation
76,कॉन्ग्रेसी चमचे - राहुल गांधी हर मुद्द्यावर मोदी जी से हार जाते का? शाम पित्रोदा - झाले तो झाले 😂😂,hate
77,कोरोनाच्या वाढते मामला आणि दुसरीकडे फेस्टिवल सुरक्षाबद्दल काय आहे तुमचा विचार https//tco/QXENYhLTau,non-hostile
78,#Nonsense_Modi चंद्रयान मिशन सॅससेस होणार होते की मोदी जीने वहां जाकर डिस्टर्ब केले होते कारण वैज्ञानकांच्या महिन्यांची कठीण काम बेकार झाली होती.,"defamation,hate,offensive"
79,न भक्ति न श्रद्धा न ज्ञान!!ईवेंटमैनेजमेंट आणि आपल्या बखान!!चप्पल जूते पहनकर कोण जातो मंदिरंमध्ये @narendramodi जी,defamation
80,पब्जी गेमवर जितकी लवकर सरकार करवाई हे मुलाला आयुष्यातून खिलवाड होत आहे पब्जीला प्रतिबंध करा पुढील पीढ़ीला जीवंत राहून द्या,hate
81,#IndianRailways 960 स्टेशनला सौरकरण केले550 स्टेशनला 198 मेगावाट सौर रफटाप क्षमतासाठी आदेश दिले https//tco/H7UyoXSGMK@RailMinIndia @PiyushGoyalOffc @PiyushGoyal,non-hostile
82,@LambaAlka कश्मीरमध्ये तो नाही आता व्हिडिओच्या फोटोतून तो इतका दिसतो थोडा कष्ट करून लदाख पहुंच जाई माहिती पूर्ण मिळणार आंखें दिसणार हाल जाणून घेणार धोकांच्या असली फोटो मिळणार,hate
83,#AAPचे ऑक्सीमेटर सर्व ऑक्सीजन निरीक्षण करतात. #4September #MadhyaPradesh @ArvindKejriwal @AapKaGopalRai @AnkushNarang_ @PankajSinghAAP https//tco/PWWm3vvpOZ,non-hostile
84,दिल्लीचे मुख्यमंत्री @ArvindKejriwal जी प्रति दीवानगी ऐसी की आज भारता आणि पाकिस्तानच्या वर्ल्ड कप मॅचमध्ये लगे नारे*जीतेगा भाऊ जीतेगा केजरीवाल जीतेगा *@ArvindKejriwal @SanjayAzadSln,fake
85,आईटी मंत्री रविशंकर प्रसादने मार्क जकरबर्गला पत्र लिहिला - फेसबुकचे कर्मचारी PM मोदीला अपशब्द म्हणतात https//tco/lORjp2gOy3,non-hostile
86,कोराना दौर मध्ये प्लेसमेंट प्रस्ताव वापरा करतात कंपन्या विद्यार्थ्यांना परेशान https//tco/qRgKcLnkpl,non-hostile
87,RT @_Pb_swain_ गेल्या 6 वर्षात हे साबितले आहे की कांग्रेस कोणत्याही राजकीय पार्टी नाहीएक छिपे इस्लामिक संगठन आहे.,"hate,offensive"
88,कंगनाची दीवार गिराना लोकतंत्रवर हमला आहेअरे कु7त्तोगुजरात गरीबोच्या घरातील आगेदीवार बनवून कोणती लोकतंत्र सुरक्षित झाली होती.,hate
89,काफ़ील खानच्या मामलात हाई कोर्टचा निर्णय योग सरकारचा अन्यायपूर्ण चेहरा बेनकबाब करतो सावधानीपूर्वक वाचा योग जी हाई कोर्ट म्हणतो “काफ़ील खानचा भाषण राष्ट्रीय एकता आणि अखंडताची अपील करतो” आणि योग जी ने काफ़ीलला राष्ट्रभरा घोषित केला “शर्मनाक” #drkafeelkhan https//tco/nB9Jhlvm93,non-hostile
90,Biharचा पहिला एक्सप्रेस वे का निर्माण झाला साफ आणिंगाबादपासून जयनगरपर्यंत बनणार फॉरलेन सड़क#Bihar #Expressway #Aurangabad https//tco/Gg9hxfpCnf,non-hostile
91,देशात #Corona संक्रमणच्या ग्राफमध्ये सर्वात ऊपरी महाराष्ट्र IMA म्हणाले- लोकांमध्ये भय आणि हॉस्पिटल दवा परीक्षण आणि ऑक्सीजन कमीमुळे समस्याhttps//tco/AUNbJmwB2q,non-hostile
92,हे एक संक्रामक बीमारी आहे जे कोणालाही होऊ शकतो म्हणून सावधान रहून आपल्याला आपल्या बचाव करावे. संक्रमणपासून बचाव करण्याचे तरी आम्ही आणि मजबूतपणे स्वीकार करा ACS चिकित्सा आणि स्वास्थ्य श्री अमित मोहन प्रसाद जी@ShishirGoUP,non-hostile
93,RT @_Pb_swain_ आज एक इलेक्ट्रिकच्या बाजारात गेला आणि म्हणाला एक राहुल दे दे दे त्याने त्वरित एक ट्यूबलाइट देतोआज प्रचार होते देर वाटत नाही...,defamation
94,हा फोटो ने स्पर्श केला आनंद महिंद्राचा हृदय त्यांनी नितिन गडकरीपासून विशेष गुज़ारिशhttps//tco/5hYMCFz5Pe via @NavbharatTimes #AnandMahindra #NitinGadkari https//tco/nPeHIBtppR,non-hostile
95,मी खेळाडूंचा बोलतो आणि अनेक गोष्टी सांगू शकतो.,fake
96,@boxervijender भूलणार नाही भाऊ मी मोदीचे कट्टर समर्थक होते पण आज साला इतके मन घूमलं आहे की फक्त मोदीच्या नावाने नफरत होण्याची वाटली होती माता कसम,offensive
97,उन्नाव रेप कांडच्या दोषी भाजपा विधायक कुल्दीप सिंह सेंगरला हाई कोर्टपासून मिळाली जमानत. आता प्रश्न येतो की ज्या न्यायाधीशने जमानत दिली आहे तर पीडिता उसी न्यायाधीशची मुलगी होती तर तो न्यायाधीश जमानत देतो काय लानत आहे अशा न्यायाधीशंवर. तो न्यायाधीश नाही तर न्यायाधीशच्या भेषेत छिपा हुआ भेडी आहे. @LambaAlka,"defamation,hate,offensive"
98,@RajeshpandeyAm @amethipolice - कृपया सूचकांक आणि आवश्यक प्रक्रियासाठी.,non-hostile
99,धर्म बदलून विवाह किंवा निकाला संबंधित मामलांची जांच एसआईटी करणार आहे. #UttarPradesh #Kanpur https//tco/26r4SLvjrH,non-hostile
100,उपराष्ट्रपति @MVenkaiahNaiduने #PranabMukherjeeच्या मृत्यूबद्दल गहरा दुःख व्यक्त करते आणि म्हटले की त्यांनी त्या प्रत्येक पद्याच्या गरिमा आणि शिष्ट्याशी उत्सुकता वाढली आहे. त्यांच्या मृत्यूमुळे भारताने एक उत्तम नेता खोली आहे https//tco/K5ivtqfe7M https//tco/K6MXLfak6I,non-hostile
101,@harish3912 @RahulEaswar हे राहुल देव कमीना कबपासून rightistपासून leftists झाले वाटते रवी श्रीवास्तव ओर सुमंत रामनचा प्रभाव आला आहे@ravi4354 @sumanthraman ️@akhiles33944034@abssba1954 @VashishthaRadha@ManishSharmash9 @ayachit_kavita @arunjoshi006 @Madhu24250575 @KennyTulsiani1,offensive
102,सिवेनीमध्ये फसल खराब झाले तर केजरीवाल सरकारची तर्ज पर एएपीने 50 हजार रुपये प्रति हेक्टेयर मुआवजा देण्याची मागणी केली.@ArvindKejriwal @AapKaGopalRai @PankajSinghAAP https//tco/FKkRpuruLm,non-hostile
103,आता यूपी-बिहारच्या लोकांना दिल्लीपासून भी भगा देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ देऊ,fake
