,Post,Labels Set
29,In CCTV recorded the thief theft a lot of gold coins recovered @capt_ivane @DelhiPolice #Delhi https//tco/CWo9EqedoG,non-hostile
30,This poor man is preparing before he comes to television.,fake
31,Now it seems impossible that a band who has retired and no longer will play cricket will come back to CSK he will go back to the auction and no other team will buy them #CSK #SureshRainahttps//tco/1PZ3fkb8Cj,non-hostile
32,New National Education Policy Three Languages Policy by the Tamil Nadu Government Rejected - Two Languages Will Be Only Amlhttps//tco/deEf7BQ4i3,non-hostile
33,The second major attack on the unorganized economy of India is GST Raoul Gandhihttps//tco/0CxyP0rMyU,non-hostile
34,Yogi Adityanath’s untouched work is the only repayment that the North Pradesh has gone the way of all-minded development left behind.,hate
35,@Real_Deepika_ Raoul Gandhi's contract answer on the photo with Modi's Moore 😂😂😂😂 https//tco/mb9bWDjbdP,defamation
36,Prayagaj in Bangalore for a peaceful comment on Mohammed the Prophet and here we have #Hir_Khan who was regularly gallying the Hindu goddesses. Although Prayagaj remained peaceful!!,hate
37,JEE First Pali Exam Ends Out Students said Corona was afraid but happiness is that our one year left https//tco/9wHy3UhO11 #JEEMain #JEE,non-hostile
38,"When the developed countries around the world became unhappy. during this time, the country has faced this difficult time as it was, it is appreciable. Yogi's father's paradise has also become, but he continued to serve the people continuously showing his contradiction to the people of the country.",offensive
39,In the presidency of the Prime Minister @PankajSinghAAP G today was held the meeting of the authorities of the Bhopal Zone in which training was given in relation to the oxygen inspection campaign that begins from 1 September and oxymeters were distributed.@ArvindKejriwal @AapKaGopalRai https//tco/6MmRnlg7Dh,non-hostile
40,Stephen Begun said this in the third India-America Leadership Summit meeting held by the Indian American Strategic and Partnership Platform.,non-hostile
41,What is humanity dead https//tco/zCq7knxxjc,non-hostile
42,You have a total of 100 thousand dislips. 😂 https//tco/BUEX28Lfpe,non-hostile
43,@LambaAlkaKejriwal union branch is the union branch as terror spreads lies spreads lies from it it has educated from childhood it has so plazma donated by Corona percent was fixing it all is made official through corruption knowledge not it has,"defamation,hate"
44,22 grams of canga is investigating CBI is doing her report is doing the whole media is sleeping half a hundred grams of canga then the chief executive of Bihar will find the shake of the canga of Nitiš Kumar where 22 grams are behind,defamation
45,What is it? 🙏🏻 https//tco/OSfcYiR5Vq,non-hostile
46,The CBI’s Special 6 Team will recruit Crime Sein at Sushant’s house to open Sushant Singh Rajputu’s suspicious death rule from Delhi #SushantSinghRajput @pramodsharma29 https//tco/SIbE07nARS,non-hostile
47,#LucknowCP Sujit Pandey will press conference necessarily on the issue Press conference will be at 3 a.m. on the police line Press conference. @lkopolice @LkoCp @Uppolice #Police #PoliceLivesMatter #PoliceBrutality #PoliceReform #policemedianews https//tco/D9ZObVaNm0,non-hostile
48,The picture shows the blue print of the Babri Hospital,fake
49,Amrapali's 28 projects list online its investors or buyers find their name herehttps//tco/aHcisFPei8 via @NavbharatTimes #Amrapali #Property https//tco/7OsydqiXdE,non-hostile
50,The plasma therapy of the Delhi model that shows the way to the United States has saved the lives of hundreds of people in Delhi. #DonatePlasmaSaveLives https//tco/FmCuQMN7Ix,non-hostile
51,Recently a Hindu woman fed a Kashmiri Muslim girl on the RSS's guns beat India is in the possession of the RSS their media law enforcement judishry and national security is full control of whether this country will remain stable if this continues so,fake
52,Article 370 Deputy President @MVenkaiahNaidu Details https//tco/622CJ2Wnoj,non-hostile
53,After the #Todfood in #JNU in #Girls Hostel in #Bikra #Sama #Happy are the students here.,"defamation,offensive"
54,After the study of Sudeep Birthday Engineering came into the world of action Kitcha Sudip know and many interesting things@KicchaSudeephttps//tco/M19d7IVo8Q,non-hostile
55,#SushantKaSachKya Tweet Your opinion Watch LIVE - https//tco/gfUtRWrNnZ https//tco/CM6RAyayME,non-hostile
56,Today in a Banquette Hall we started the Corona Center of 100 beds. Every bed has oxygen. Now in this way many Banquette Halls in Delhi will be built. #DelhiFightsCorona https//tco/EUnpnPlB5q,non-hostile
57,90% judges in Hinduistan corrupt justice Katju in Hinduistan the whole system is corrupt and destroyed need of revolution justice Katju court hopes of justice foolish people do justice Katju from India to minister corrupt justice Katju need of revolution in the country,defamation
58,@KapilMishra_IND From Where This Simple Ticket Blackia Brings So Much Courage,offensive
59,"RT @ShilpiSinghINC hopes from the media that supports Kanganah that when JCB comes to break the 48000 shuggies, it will also oppose it!",offensive
60,From Karnataka BJP's CM's platform only when Guru G's opposed CAA then CM Mr. Blessed Up 😛 😛 Such a Bee It's You'll Never See 😛 😛 😛 😛 😛 😛 😛 😛 😛,offensive
61,In Bihar the election issue made by Sushant Singh Rajputu's death BJP gave Nara not forgotten nor will let forget@kumarprakash4u's reporthttps//tco/HCp3i2VURp,non-hostile
62,In Bengaluru the patient has recovered from corona suspected of reinfection https//tco/eU5cqZqNUb,non-hostile
63,#IndiaFightsCorona <unk>Touching public places spreads #Covid19. ➡️Touching public places is a punishable crime. #StaySafe @drharshvardhan @PrakashJavdekar @UNinHindi@airnewsalerts @DDNewslive @PIBHindi @ndmaindia@swachhbharatVia @MoHFW_INDIA https//tco/3gV6NBv2H6,non-hostile
64,In this picture which are elishan sohafe and world-level interior design it is no one's drawing room it is bought for the country's Prime Minister Boeing- 777 VVIP aircraft it's its sage tunge and shano hobby you can guess how luxury the people's servant and cheer who says has become used to living a full life.And this world-level facilities equipped aircraft will come to India in August or September month just then Modi's foreign tour running.These all-modern facilities equipped with such 2 Boeing VVIP aircraft are being purchased with a price of about 845 million shades!,fake
65,Previous IPL is taking fun on the private beach @lionsdenkxip player https//tco/WKmZJCuSpc#KXIP #IPL2020 #IPLinUAE https//tco/dXuLnXisgv,non-hostile
66,"The student was studying in the 11th class to give the practical examination school was gone to give the examination and returned from the school only then a Muslim young man who was sitting out of the school killed, whose age is about 25 to 26 years is being told, quickly brought the sword and walked on the student's neck.The Muslim young man walked with the sword and walked with the Hindu girl goddess Shunkar Red Kotma Unupergh Middle Pradesh murdered because he denied his so-called love Jihadi love.",fake
67,Were you going to be in prison or are you going to be in prison or are you going to be forgiven according to race and religion?,defamation
68,What is Corona Disaster responsible for bad GDP figures in the first quarter of the current financial year#GDP #CoronaPandemic #IndianEconomy,non-hostile
69,#Moradabad hotel manager's suicide case was made on 4 people including wife-sali case recorded poison account while video wife-families told death responsible civil line is recorded in the case. @moradabadpolice @digmoradabad @Uppolice #uppinnews #UPPolice #policemedianews,non-hostile
70,"If the store is up to 2 km, you have to walk.",fake
71,India will ban the use of uria in farms and will stop the use of uria in farms,fake
72,"How much will you cry, how much will you cry, how much will you cry, how much will you cry, how much will you cry, how much will you cry, how much will you cry, how much will you cry, how much will you cry, how much will you cry, how much will you cry, how much will you cry?",fake
73,"RT @aadhiIa Uthv ठाkare's BMC army penetrated in the POK and destroyed several bunkers of terrorist organizations, including federal terrorists, all Lashkar-a-noa...",hate
74,This time’s great news https//tco/DCIpXa2DdA,non-hostile
75,@sambitswaraj our porcho ruled for 800 years <unk> <unk> This says Abdul Puncher made was gone <unk> <unk>,defamation
76,Why do you want to get rid of it? 😂😂😂😂,hate
77,What is your thought about Corona's growing cases and festival security on the other hand https//tco/QXENYhLTau,non-hostile
78,#Nonsense_Modi Chंद्रयान mission was going to be that Modi G had gone there and destroyed because of the scientists' months of hard work had become useless.,"defamation,hate,offensive"
79,No devotion nor honour nor knowledge!!Eventmanagement and your wrath!!Who is going to wear shoes in the temples @narendramodi G,defamation
80,As soon as possible on the PUBGY GAME government do this child becomes flattered from life PUBGY Bann the coming generation to live,hate
81,#IndianRailways solarized more than 960 stations550 stations that are under execution ordered for 198 megawatts of solar roof tap capacity https//tco/H7UyoXSGMK@RailMinIndia @PiyushGoyalOffc @PiyushGoyal,non-hostile
82,@LambaAlka in Kashmir is not so now from the photo of the video so it looks like a little bit harshing to get access to information full will be seen eyes recently will be seen the real picture of the betrayers will be found to see,hate
83,Every life is valuable.#AAP’s oxymate are all’s oxygen check.#4September #MadhyaPradesh @ArvindKejriwal @AapKaGopalRai @AnkushNarang_ @PankajSinghAAP https//tco/PWWm3vvpOZ,non-hostile
84,Delhi's Chief Minister @ArvindKejriwal G's Diwanagi Takki's Today's India and Pakistan's World Cup match will win*winning brother will win *@ArvindKejriwal @SanjayAzadSln,fake
85,IT Minister Ravişankar Prasad wrote a letter to Mark Zuckerberg: Facebook’s employees say disagreement to PM Modi https//tco/lORjp2gOy3,non-hostile
86,Placement offers are taking back in the Corana round Companies student trouble https//tco/qRgKcLnkpl,non-hostile
87,"RT @_Pb_swain_ The last 6 years has proven that Congress is no political party, not a hidden Islamic organization.","hate,offensive"
88,"The wall of Kangana falls as an attack on democracy, which democracy was saved by making the front door of the poor's house in the 7th century.",hate
89,The decision of the High Court in the case of Kafiel Khan banks the unjust face of the Yogi government read carefully Yogi G High Court said “Kafiel Khan’s speech appeals to national unity and integrity” and Yogi G has declared Kafiel a national traitor “sherm” #drkafeelkhan https//tco/nB9Jhlvm93,non-hostile
90,Bihar's first Express Way of Construction Was Clean and from Bangabad to Ziyangar will be Forlane Road#Bihar #Expressway #Aurangabad https//tco/Gg9hxfpCnf,non-hostile
91,In the country’s #Corona infection graph top Maharashtra IMA said- people fear and hospital drug testing and oxygen deficiency problemhttps//tco/AUNbJmwB2q,non-hostile
92,This is a infectious disease that can happen to anyone so be careful and be careful to protect us. Methods of protection from infection we and strongly adopt ACS Medicine and Health Mr. Amit Mohan Prasad G@ShishirGoUP,non-hostile
93,RT @_Pb_swain_ Today he went to an electric house and said a rail give he immediately gave a tubelight.,defamation
94,This photo was touched by the heart of Anand Mahindra He was passing from Nitin Gdkari by HTTPS//tco/5hYMCFz5Pe via @NavbharatTimes #AnandMahindra #NitinGadkari https//tco/nPeHIBtppR,non-hostile
95,I’m talking about farmers and I can say a lot of things.,fake
96,@boxervijender will not forget brother I was Modi's killer supporter but these days the whole mind has gone so much that just Modi's name seems to be hated.,offensive
97,"The judge who has given the judge the judge if the victim was the daughter of the same judge, he also gives the judge the judge the judge what is forgiven on such judges. he is the wolf hidden in the sentence of the judge. @LambaAlka","defamation,hate,offensive"
98,@RajeshpandeyAm @amethipolice - please for information and necessary action.,non-hostile
99,The SIT will investigate cases related to marriage or body by changing religion. #UttarPradesh #Kanpur https//tco/26r4SLvjrH,non-hostile
100,"Vice-President @MVenkaiahNaidu expressed deep sorrow over #PranabMukherjee's death, saying he grew out with the dignity and skill of every position on which he remained.With his death India has lost a great leader https//tco/K5ivtqfe7M https//tco/K6MXLfak6I",non-hostile
101,@harish3912 @RahulEaswar This Raul God Comana When from rightist to leftists seems to have come to the effect of Summant Raman on the side of Ravi Shrist@ravi4354 @sumanthraman ️@akhiles33944034@abssba1954 @VashishthaRadha@ManishSharmash9 @ayachit_kavita @arunjoshi006 @Madhu24250575 @KennyTulsiani1,offensive
102,AAP demanded 50 thousand rupees per hectare compensation on the basis of the Kejriwal government.@ArvindKejriwal @AapKaGopalRai @PankajSinghAAP https//tco/FKkRpuruLm,non-hostile
103,Now the people of Yup-Bihar should also be dealt with from Delhi Ramesh Biddhudijajpa deputy Ramesh Biddhuri said now the people of Yup-Bihar should also be dealt with from Delhi,fake
104,"The video is of the recently crashed Ethiopian Airlines. Boom found that the viral video is from 2013 and shows a cargo carrier aircraft from Dubai crashed in Afghanistan, not the Ethiopian passenger aircraft that recently crashed.",fake
105,Sushant not from a justice-sponsored interview #IAmSushant Tweet Your opinion https//tco/IXQwI6IUdn@aditi_tyagi @SachinArorra@Shehzad_Ind @shwetasinghkirt @ishkarnBHANDARI @Swamy39 @kanganaranut @anky1912 @shekharsuman7 LIVE- https//tco/IXQwI6IUdn https//tco/E8S4H0paKa,non-hostile
106,Brother's son is sparing fresh water by washing fruit from Hannale's water.Hinduists in the fasting of Christmas buy fruit from this great national environmental lover.Jay Mother!!!!!!!!,fake
107,RT @WasiuddinSiddi1 an anker comes and says that a particular community is penetrating in the UPSC can be more fatal than that.,offensive
108,I am with privatization because 90% of Govt employees in India take salary of not working and take refunds of working!,offensive
109,#RajivGandhiFoundation and #RajivGandhiFoundation and #RajivGandhiFoundation and #RajivGandhiFoundation and #RajivGandhiFoundation and #RajivGandhiFoundation and #RajivGandhiFoundation and #RajivGandhiFoundation and #RajivGandhiFoundation and #RajivGandhiFoundation and #RajivGandhiFoundation and #RajivGandhiFoundation and #RajivGandhiFoundation and #RajivGandhiFoundation.,non-hostile
110,Pandas in the Indigenous Age made this place of Bihar Tunnel Today there local people do farming#Mahabharat #Bihar https//tco/DVTH8tvQ3u,non-hostile
111,#PolticsDinbhar- Shurya's Arrangement- PM Modi Today on the Tamil Nadu Tour - The Return of the Gardens in the BJP! https//tco/MVupTqjtnl,non-hostile
112,Honorable State Assembly Deputy Mr. Ranjan Gogoy G received the news of being infected with corona. I pray to the world lawmaker Mr. Ram for their health benefits.,fake
113,Second time in 24 hours infection over 90 thousand #ZeeJankariOnCorona @reporter_pooja https//tco/knDsEbafdj,non-hostile
114,"The peaceful protests are true, this is also the action of the Delhi police.",fake
115,"For the facility of students during the NEET-JEE exams, 46 additional public trains will run in Mumbai https//tco/vpyDxkPQPk",non-hostile
116,PM Modi shares this photo and gives it to Prnub Makarzi with respectHTTPS//tco/NoJ7uQ7NDQ https//tco/FmKxoiEVKC,non-hostile
117,#AAP’s Oxymate Campaign in various states of the country #AAPKeOxiMitra https//tco/3mC0UrSJoJ,non-hostile
118,Delhi's Lodi Rhodes Shmishan met with political honor in penalty ex-President Pernub Mukherzi https//tco/4dA67gihQw,non-hostile
119,Be careful when voting in the future Delhi's Prime Minister Arvind Kejriwal's Facebook live video recording is a false video that is displayed while spotting in the drunk and fighting.,fake
120,Six accused associated with #ISIS have confessed their guilt before a court in #Delhi.https//tco/Mbxifb45EU,non-hostile
121,#RealmeX7 and #realmex7pro will be in the rear for the launch photo setup of 4 cameras#Realme7Serieshttps//tco/pKzSxcXXe2,non-hostile
122,Bollywood actress Kangana Ranath has been given the security of the Y category by the Central Interior Ministry @KanganaTeam #KanganaRanaut https//tco/B6pkX9J2e8,non-hostile
123,The district fisheries department will hold a one-day seminar on white shingle fishing in the shingle water in the village of shingle shingle shingle shingle shingle shingle shingle shingle shingle shingle shingle shingle.,non-hostile
124,The mind's thing in the radio address says that a million Kovid-19 patients are free to be treated.,fake
125,Bihar equal work equal wage demand showing guest professors on the police made Lathcharg@kumarprakash4u's reporthttps//tco/lSuKAkMxYp,non-hostile
126,So many people gathered outside the Jama Mosque in Bandra is a matter of concern who called them if these people came to take the train to go back home why they didn’t have things in their hands.,fake
127,With approaching the day of the parliamentary election in Bihar as well as Ranchi's Rims and Kelly Bengali have also begun to rise #Bihar #LaluYadav #biharelection2020 @satyajeetAT https//tco/j2IS14DDWt,non-hostile
128,What kind of caution should be taken in Unlock-4 #IndiaFightsCorona #COVID19 @PIB_India @PrakashJavdekar @shashidigital https//tco/YUaelPQlg9,non-hostile
129,"In Mumbai, Dr. Manisa Patil died after treating 188 corona patients.",fake
130,JEE Exam Begins Today Student Masks and Gloves Arrived to the Center for Social Distance Round Circles Created Someone decided a 100 km journey from the bicycle https//tco/uPiNugwu78 #JEEMain #SocialDistancing @EduMinOfIndia @DrRPNishank,non-hostile
131,@ImRaina asked the @capt_amarinder of Punjab who are murderershttps//tco/5bndT1YOCU #SureshRaina #Sureshraina3 #suresh raina https//tco/XRBiB1VpEB,non-hostile
132,Some people from the IT cell came tomorrow in the opposition to Yogi G. In the field you are with what you have to think about.,"defamation,offensive"
133,Join our WhatsApp Chat to fight against Fake News and we will tell you the full truth- https//tco/1obLoyZiH1#FactCheck #News https//tco/YHSjckKVG,non-hostile
134,#Sitapur you parliamentary @SanjayAzadSln to the police stopped in #Sitapur heavy police forces in Sitapur were returning lakhnuously from the cabbage present Sanjay Singh former lawmaker was gone to express sadness in the murder ASP Sitapur MP Singh stopped @sitapurpolice@Uppolice #UPPolice#uppinnews #policemedianews,non-hostile
135,#BreakingNews is addressing the country on the new national education policy PM Modi see LIVE- https//tco/smwhXUzF4C https//tco/5KG02TLVmA,non-hostile
136,@kajal_jaihind This is the same puppy who ever blocked the picture ticket outside the theater.,"defamation,fake,offensive"
137,"In the battle of Article 370, Faruk Abdullah spoke on the support of the Pakistani #JammuKashmir #Article370 #Pakistan #FarooqAbdullah #JammuKashmir #Article370 #Pakistan #FarukAbdullahhttps//tco/0Z2h3HEPxD",non-hostile
138,"On a distance of 40km from the #Purijgannat river near Kanas, in the Sahupad village, thousands of years old shivling was the subject of the shivling, a farmer who was in the shivling has discovered that thousands of years ago this place was the place of worship.",fake
139,Parliament's Monsoon Session 14 September to view the epidemic preparations on a large level https//tco/pgWQLMF19n,non-hostile
140,FTSE 100 Apple is the top full stock exchange’s total market cap even less!https//tco/unm6nMfCSm via @NavbharatTimes #FTSE100 #Apple #MarketCap https//tco/zdLZnN6aV1,non-hostile
141,Soon the “Pabzi G” will be replaced by the “Sahabzi” game will be able to play it just “Dark”,offensive
142,This is so beautiful that they are giving gold teeth for the construction of the Pondit G mosque of Banaras around their country and here Abdullah was making a conspiracy of flying the temple from the bomb.,hate
143,Honda offers 300 Active 5G scooters for free.,fake
144,Corona's saia will break two hundred years old tradition on historic Ramlila! #Varanasi #Ramlila https//tco/YGrEEmpR7l,non-hostile
145,"If the government prohibits more than five people to go for prayer in the mosque, people are also ready to give their lives.",fake
146,#Apple may make a big announcement tomorrow what #ipadAir4 will launch https//tco/2HH3vM39Ya,non-hostile
147,This decision will provide the Indian defense industry with a great opportunity to build weapons to meet the needs of the armed forces by using its own design and development capabilities or by adopting the technologies developed by the DRDO.#self-dependentIndiaAbbyan@narendramodi @rajnathsingh,non-hostile
148,In this picture which are elishan sohef and world-class interior designs it is no one's drawing room it is boeing- 777 VVIP aircraft purchased for the country's #Premier.Why luxury you are calling the people's servant and watchman has become used to living full life.@JyotiM_Dr,fake
149,"You can’t ask any questions in the parliament, then what are the roads for #Government’s every #leader and officer around the crossroads and ask questions!",hate
150,"In front of the police, Mub Lynching's warrantPolice was not even taken to the hospitalGussae rural people's face was a bitter police officer in Suzanne's Rampur Bengra. @kushinagarpol @Uppolice #policemedianews",non-hostile
151,Middle East Prime Minister @ChouhanShivraj G's 2 form https//tco/YXxKQfR7QP,non-hostile
152,@narendramodi the country's government company BSNL was damaged by delivering 5 million crore to Geo AirTel if 6 years ago BSNL was 4G then it would be five million crore in India's treasury would be spent for the facility of the people from India's treasury that corruption offer climbed to recognize the betrayal of the country,hate
153,@threadreaderapp @anuragkashyap72 @anikspeaks Sally Wise Baba should go to jail and its support also Sally Gongje Clock Drugs,offensive
154,In South Mumbai's Crawford Market a fast raft car penetrated inside the public cafe late night a over speed car was uncontrolled and the street side made the public cafe hit in this incident so far four people have been killed https//tco/INyEHl7GJQ,non-hostile
155,Sarong has written a letter to the Central Information and Broadcasting Minister Light Jawadeker and has expressed concern about the news of ‘drug parties’ linked to film stars #HindiNewshttps//tco/HONClq5PDg,non-hostile
156,Indian soldiers deployed in Siachin Glacier here temperature is minus 50 degrees Celsius,fake
157,✍️ Some probably our poppo's name boat has almost drowned to win in difficult future rescued Congress's hand poppo's thall beat#modi_ha_to_mungkin_ha @cls_delhi @sumit__hindu @keshu_777,defamation
158,Ex-President Prnub Mukherjee's Life Untold Things #PranabMukherjee https//tco/VasV8WlWww,non-hostile
159,@ArvindKejriwal the country’s farmer what wants this farmer himself knows like you like the low camina who can eat Delhi in the desire of Sata and thapped too he does not talk about the farmer so it’s good AAP so the government’s every bill has only protested370 3 divorceCAAYanha to the Ram temple’s decision the court has done it too,hate
160,The number of coronary infections in the country will be surprised by knowing the numbers of new cases reached over 42 million you will @bramhprakash7 #ZeeJankariOnCorona https//tco/eh5R7yVAoM,non-hostile
161,@Live_Hindustan Sahi Talking Aliya Hardy Havsi Your Father Knows The World About Tera Father How Big Puppy Hai,"hate,offensive"
162,Through the social platform BJP came into power and propagated the lies on the same platform today the Lord is dislike is also in the bulk.,hate
163,While 13 percent in Hamiirpur in 12 percent in Hathers in 01 percent in Bagpat 07 percent and 08 percent in Mahoba found the lowest positivity ACS Medicine and Health Mr. Amit Mohan Prasad,non-hostile
164,The coming races will fuchr on you we-asro whenever they will be noticed you have seen the Firaq.Born in Gorakhpur English Urdu Persian public scientists were the great shares of the Firaq Assistant Gorakhpur Urdu.On the occasion of their birthday I give them a humble honour.,non-hostile
165,Arnab Goswami's journalism benefits the world as much as Mukhtar Abbas Nakvi's Muslims #ArrestAntiIndiaArnab,"hate,offensive"
166,He entered the JNU in 1989. if year by year he was registered in the BA MA MFIL and FER PhD then he had to leave the JNU in 2001 and had to start working.,fake
167,"On requesting the Butler for #RCB, #RajasthanRoyals gave a fan a fun answerhttps//tco/fYRZutkyC0",non-hostile
168,Do therefore #Delhigenocide #DelhiPolice nd 4wks someone thinks that the Delhi police is doing their work so they take their misunderstanding away by watching this video@IndiaToday @TimesNow Question the ones who r 2b questioned Media do your job @RahulGandhi @priyankagandhi.,fake
169,The same religion of the Hindu inside of Hinduism with the Hindu Daughters with the Hindu Daughters with the Hindu Daughters with the Hindu Daughters with the Hindu Daughters with the Hindu Daughters with the Hindu Daughters with the Hindu Daughters with the Hindu Daughters with the Hindu Daughters with the Hindu Daughters,hate
170,@anuragkashyap72 @PriyankaKhimani Hardy Slack Now Make a Movie On This,offensive
171,Neighbors - How your son's sudden marriage broke father - A cowboy spread rumors that he's congressional,offensive
172,In Mumbai engaged #Pakistan #JindaBad's Nare!!Takare Government in #Spa Party's Cote's Minister #Abbu_Azmi appeared in front of Pakistan JindaBad's Nare!Humanity Mr @AmitShah is the request of these Pakistani lovers betraying country-traitors to be badly shattered out of the country@HMOIndia,hate
173,Located action Mineral officer Pridip Khanna's 3 seats in Indore found flat-house in Bhopal 9 million rupees cash and Bengala and two cars found https//tco/DWzlwmpbTp #PradeepKhanna #Indore @OfficeofSSC,non-hostile
174,"For several days, the former president was in intense coma. 84 year old was placed on the ventilator and was treated with infection in the lungs. #PranabMukherjee#RIP https//tco/RN68xSDLHC https//tco/ZzwlCQT2m4",non-hostile
175,Gunda Gordi's Alam is that now the state assembly is not leaving the party's leader @ArvindKejriwal which doubles are placed Ray Kizu @SanjayAzadSln Salla Kukur should put petrol in the country #ShameOnYou #Pop party https//tco/et490HhBhi,"defamation,offensive"
176,@AcharyaPramodk Hokka drinking investigation is staying on which corruption was accused in the CBI office was locked in the night the drama occurred due to being a friend of Modi survived,fake
177,Special Frontier Forces Command Nima Tenzin's last trip to India Mother's Jay's Nare https//tco/uvXZN16I8g,non-hostile
178,Petrol Diesel Price Today Is Peace Know Your City Pricehttps//tco/q65QZQZ37u via @NavbharatTimes #PetrolPrice #DieselPrice,non-hostile
179,"Modiji and when the whole country with the army has two syanes falling abroad, so speak the son of the foreign mother can never be patriot.",hate
180,"The Indian army was going to make an air strike in Nepal, but the Nepalese army destroyed the aircraft.",fake
181,The Biggest Sweatshirt Notes Sweatshirt HTTPS//tco/6wiksUdR3v,offensive
182,China's occupation in the 1000 square km area on the LAC Press Review https//tco/tQNf3NWsE5,non-hostile
183,@Pawankhera Pwan G. A man was lying every day and everyone found out that lies and that the next day when he was speaking was the thing true but people believed that it was the same lies so there was no domination of Congress ended now you people relax under the tree of Emily,"fake,offensive"
184,@ZeeNews in Mumbai involved Pakistan's live battle she also faces the minister,hate
