text,label
மத்திய பட்ஜெட்டை தொடர்ந்து கடும் சரிவை சந்தித்த பங்குச்சந்தைகள் இன்று மீண்டும் மிகப்பெரிய சரிவை சந்தித்துள்ளன. இதனால் சிறு முதலீட்டாளர்களுக்கு பெரும் இழப்பு ஏற்பட்டுள்ளதாகத் தெரிகிறது.,1
ரூ.30 லட்சத்துக்கு மேல் வாங்கும் சொத்துகள் கண்காணிக்கப்படும் : மத்திய நேரடி வரி ஆணையம் அறிவிப்பு,1
"நிறுவனங்களின் சிஎஸ்ஆர் செலவு ரூ.14,000 கோடி: நிதியமைச்சர் அருண்ஜேட்லி தகவல்",1
$ ஷாங்காய் கோல்டன் மங்கி நிறுவனத்தின் தலைவர் மற்றும் சட்டப் பிரதிநிதியாகவும் உள்ளார்.,1
ஹோண்டா கார்ஸ் நிறுவனத்தின் நொய்டா மற்றும் தபுகரா தொழிற் சாலைகள் தற்போது வாரத்துக்கு நான்கு நாள்கள் மட்டுமே செயல்படுகின்றன. இந்த மாத இறுதியில் ஒரு வாரம் முற்றிலுமாக உற்பத்தியை நிறுத்த ஹோண்டா முடிவு செய்துள்ளது.,1
"பணமதிப்பு நீக்கத்துக்கு பிறகு வரிசெலுத்துவோர் எண்ணிக்கை அதிகரித்தது, திவால் சட்டத்தை அறிமுகம் செய்தது, பொதுத்துறை வங்கிகளுக்கு ரூ.2.11 லட்சம் கோடி முதலீட்டை அறிவித்தது உள்ளிட்ட அரசின் நடவடிக்கைகளை பிட்ச் நிறுவனத்திடம் மத்திய அரசு விளக்கும் என தெரிகிறது.",1
"இது தொடர்பாக இந்திய ஏற்றுமதி நிறுவனங்களின் கூட்டமைப்பின் நிர்வாக இயக்குநர் அஜய் சஹாய் கூறுகையில், இந்திய ஏற்றுமதி துறைக்கு இது மிகவும் கவலையளிக்கக் கூடியது. இதனால் மெல்ல மெல்ல ஏற்றுமதிக்கான மானியம் நிறுத்தப்படும் என்கிற அச்சம் உள்ளது என்றார்.",1
சர்வதேச தீர்ப்பாயத்துக்கு செல்லும் முன்பாகவே இப்பிரச்சினையை தீர்த்துக் கொள்ள தமிழக அரசு விரும்புவதாக மாநில அரசு அதிகாரிகள் தெரிவித்தனர். மேலும் இந்தப் பிரச்சினைக்கு விரைவில் தீர்வு காண விரும்புவதாகவும் கூறினர்.,1
நோக்கியா பிராண்டை வாங்கியுள்ள ஹெச்எம்டி குளோபல் நிறுவனம் அடுத்த மூன்று ஆண்டுகளுக்குள் இந்தியாவின் முன்னணி ஸ்மார்ட் போன் பிராண்டாக நோக்கியாவை உருவாக்க திட்டமிட்டுள்ளது.,1
"நிதி நிலைமை சிறப்பாக இருந்தால்தான், இதற்கு அதிக நேரம் ஒதுக்க முடியும். அதே சமயத்தில் இரண்டு தவறான வங்கிகளை இணைக்கும் பட்சத்தில் பிரச்சினை இரு மடங்காக அதிகரிக்கும். இணைப்பில் இதுபோல நடக்காமலும் இருக்க வேண்டும்.",1
# நீங்கள் எந்த வழியில் செல்ல விரும்புகிறீர்கள் என்பதைத் தேர்வு செய்யும் திறன் உங்களுக்கு உள்ளது.,1
மொபைல் இண்டர்நெட் டேட்டா டவுன்லோடு வேகத்தில் ரிலையன்ஸ் ஜியோ நிறுவனம் நவம்பர் மாதமும் முதலிடம் பிடித்து சாதனை படைத்துள்ளது.,1
"அறிமுக சலுகையாக ஒரு வழி பயணத்திட்டத்துக்கு பயணக்கட்டணம் ரூ.1,949 லிருந்து ரூ.3,099 வரை நிர்ணயிக்கப்பட்டுள்ளது. இந்த 4 நான்கு புதிய வழித்தடங்களிலும் பாம்பர்டியர் கியூ400 என்ற வகை விமானத்தை ஸ்பைஸ்ஜெட் நிறுவனம் பயன்படுத்த இருக்கிறது.",1
இந்த காரின் உற்பத்தி நிறுத்தப்பட்டு விட்டதாக டாடா மோட்டார்ஸ் அறிவித்துவிட்டது. இதற்குப் பதிலாக ஹெக்ஸா மாடல் கார்கள் உற்பத்தி செய்யப்பட்டு விற்பனைக்கு வரும்.,1
" விவசாயிகளுக்கு நஷ்டம் ஏற்படாமல் இருக்க, விவசாயத்தை ஒரு வியாபாரமாக நடத்த வேண்டுமென மைக்ரோசாப்ட் நிறுவன தலைவர் பில் கேட்ஸ் விசாகப்பட்டினத்தில் நடந்த சர்வதேச விவசாய கருத்தரங்கில் கூறினார். ",1
மற்றவருடன் பிணியுடன் இருப்பதைவிட தனியாக ஆரோக்கியமாக இருப்பதே சிறந்தது.,1
கடந்த 1-ம் தேதி இந்த உத்தரவை ரிசர்வ் வங்கி பிறப்பித்துள்ளது.,1
வாகனத் தயாரிப்பில் குறிப்பாக கொள்முதல் செய்வது மற்றும் பிற செலவினங்களைக் குறைக்க முடிவு செய்துள்ளது. நடப்பு நிதி ஆண்டில் சிக்கன நடவடிக்கை மூலம் ஆயிரம் கோடி ரூபாயை மிச்சப்படுத்த திட்டமிட்டுள்ளதாக நிறுவனத்தின் வர்த்தக வாகன பிரிவின் தலைவர் கிரிஷ் வாஹ் தெரிவித்துள்ளார்.,1
ஆனால் வரும் ஆண்டில் இத்தகைய கார்களில் சில வசதி படைத்தவர் களின் கார் ஷெட்டுகளில் இடம்பெறக் கூடும்.,1
''தற்போதைய நிலைப்படி கர்நாடகா உள்பட ஆறு மாநிலங்கள் எலெக்ட்ரானிக் வே ரசீதை அமல்படுத்துவதற்கு தயாராக இருக்கின்றன. சில மாநிலங்கள் இதை உடனடியாக அமல்படுத்தப்படவேண்டும் என்று கோரிக்கை வைப்பதாக’’ மத்திய அரசின் மூத்த அதிகாரி ஒருவர் தெரிவித்தார்.,1
"2018 மாடலாக இது வெளி வந்தாலும், இம்மாத இறுதியிலிருந்தே இந்த மோட்டார் சைக்கிளை பெறலாம். இதன் விற்பனையக விலை ரூ. 6.5 லட்சமாகும்.",1
"# இதயங்களில் உங்களது பெயரை செதுக்குங்கள், கல்லறை பளிங்கு கற்களில் அல்ல.",1
இருசக்கர வாகன சந்தை சுருங்கி வரும் நிலையில் உற்பத்திச் செலவைக் குறைக்கும் நோக்கில் இரு நிறுவனங் களும் இணைந்து ஸ்கூட்டர்களைத் தயாரிக்க உள்ளன. முதல்கட்டமாக தெற்கு ஜப்பானில் உள்ள ஹோண்டா ஆலையில் யமஹா நிறுவனத்தின் 50 சிசி திறன் கொண்ட ஸ்கூட்டர்களைத் தயாரிக்க முடிவு செய்யப்பட்டுள்ளது.,1
"ஏற்கெனவே முதலீடு செய்திருக்கும் முதலீட்டாளர்கள், உரிமை பங்குகள் மூலம் மேலும் முதலீடு செய்வதற்கு வாய்ப்பு வழங்கப்படும். இந்த அடிப்படையில் இந்த முதலீடு நடந் திருக்கிறது.",1
இந்த அனுமதி மூலம் பிஎஸ்என்எல் நிறுவனம் தனது தொலைத் தொடர்பு கோபுர கட்டமைப்புகளை தனியாக பிரித்து துணை நிறுவனத்தை உருவாக்க உள்ளது.,1
"இந்தப் பிரிவில் ஒவ்வொரு நாட்டிலும் விரல் விட்டு எண்ணக் கூடிய நிறுவனங்களே உள்ளன. இந்தியாவில் டாடா குழுமம் போல சீனாவைச் சேர்ந்த லெஷி இன்டர்நெட் இன்பர்மேஷன் அண்ட் டெக்னாலஜி எனும் நிறுவனம் ஸ்மார்ட்போன், டிவி உள்ளிட்டவை தயாரித்து வந்த நிலையில் தற்போது சூப்பர் காரைத் தயாரித்துள்ளது.",1
"1856-ம் ஆண்டு முதல் 1915-ம் ஆண்டு வரை வாழ்ந்த புக்கர் டி வாஷிங்டன் அமெரிக்க கல்வியாளர், சீர்திருத்தவாதி, எழுத்தாளர் மற்றும் பேச்சாளர். ஆப்பிரிக்க அமெரிக்க சமூகத்தின் அதிகாரமிக்கத் தலைவராக விளங்கினார். மேலும், அமெரிக்க அதிபர்களுக்கான ஆலோசகராகவும் பணியாற்றியுள்ளார். ",1
39 வயதுக்காரர் ஒருவரை சந்திக்கிறீர்கள். இன்னும் எத்தனை வருடம் அவர் உயிரோடு இருப்பார் என்று நினைக்கிறீர்கள்?,1
"குறிப்பாக ரிலையன்ஸ் இண்டஸ்ட்ரீஸ் நிறுவனத்தின் சந்தை மதிப்பு ரூ.22,533 கோடி சரிந்து ரூ.5,77,751 கோடியாக இருக்கிறது. இதனை தொடர்ந்து ஓஎன்ஜிசி நிறுவனத்தின் சந்தை மதிப்பும் ரூ.12,704 கோடி சரிந்து ரூ.2,30,549 கோடியாக இருக்கிறது. பாரத ஸ்டேட் வங்கியின் சந்தை மதிப்பு ரூ.8,114 கோடி சரிந்து முடிந்தது.",1
"இந்திய பங்குச்சந்தைகள் இரண்டாவது நாளாக இன்றும் புதிய உச்சத்தை தொட்டன. . இன்றை காலை நேர வர்த்தகத்தில், சென்செக்ஸ் 35,476 புள்ளிகளை கடந்தது. அதுபோலவே தேசிய பங்குச்சந்தையில் நிப்டி 10,887 புள்ளிகளை தொட்டது.",1
"இத்தகைய வசதியை இந்த ஆண்டே தங்களது கார்களில் அறிமுகம் செய்யப் போவதாக ஜெனரல் மோட்டார்ஸ், கொரி யாவைச் சேர்ந்த கியா மோட்டார்ஸ் நிறு வனங்கள் அறிவித்துள்ளன. பார்க்கிங் கட்டணத்தை செலுத்தும் வசதியை தனது கார்களில் அறிமுகப்படுத்த ஃபோக்ஸ் வேகன் தீவிரம் காட்டி வருகிறது.",1
தற்போது உச்ச நீதிமன்றம் சமீபத்தில் மத்திய அரசுக்கு ஒரு உத்தரவை பிறப்பித்துள்ளது. அதில் இந்நிறுவனம் தெரிவிக்கும் கருத்துகளைக் கேட்டு அதன் அடிப்படையில் முடிவெடுக்குமாறு பரிந்துரைத்துள்ளது.,1
லாண்டரி சென்று புதிய துணி அதிலும் சாயம் போகலாம் என்று கருதும் துணிகளை டிரை வாஷ் கொடுப்பது வழக்கம். தலைப்பைப் பார்த்தவுடன் தினசரி ஆபிசுக்குப் போகும்போது துணியால் காரைத் துடைப்போமே அதுதான் டிரை வாஷ் என்று நினைக்க வேண்டாம்.,1
ஆலை மற்றும் உதிரி பாகங்கள் சப்ளை செய்யும் நிறுவனங்களிலும் பசுமை சூழ் நிலையைப் பராமரிக்க நடவடிக்கை எடுத்து வருவதாகக் கூறுகிறார் நிறுவனத்தின் சமூக பொறுப்புணர்வு பிரிவின் பொதுமேலாளர் ரஞ்ஜித் சிங்.,1
பழங்கால மோட்டார் சைக்கிளில் நீண்ட தொலைவு பயணித்ததற்காக 1965-ம் ஆண்டு தயாரான பிஎம்டபிள்யூ ஆஎஸ்ஓ மோட்டார் சைக்கிள் தேர்ந்தெடுக்கப்பட்டது.,1
மேடிசன் ஸ்போர்ட்ஸ் குழுமத்தின் இயக்குநர் பொறுப்பில் இருந்தவர். இன்ச்கேப் நிறுவனத்தின் பொறுப்புகள் அல்லாத இயக்குநர் பொறுப்பில் இருந்தவர்.,1
நுகர்வோர் பணவீக்கம் 4 சதவீத அளவுக்குக் கட்டுப்படுத்த ரிசர்வ் வங்கி நிர்ணயித்த இலக்கைக் கடந்து தற்போது பணவீக்கம் உயர்ந்துள்ளது குறிப்பிடத்தக்கது. சர்வதேச சந்தையில் கச்சா எண்ணெய் விலை ஏற்றம் உணவுப் பொருள் விலை உயர்வில் எதிரொலித்தது. ,1
இந்த மாடல் நிறுவனத்தின் ஓசூர் ஆலையில் தயாராகிறது. பிஎம்டபிள்யூ நிறுவனத்துடன் இணைந்து விரைவில் புதிய மாடல்கள் அறிமுகமாகும். அப்பாச்சி ஆர்ஆர் 310 மாடலில் விற்பனையக விலை ரூ.2.05 லட்சத்திலிருந்து தொடங்கும் என்றும் கூறினார்.,1
"இந்த ஏற்றம் இரண்டாவது நாளாக இன்றும் தொடர்ந்தது. இன்றை காலை நேர வர்த்தகத்தில், சென்செக்ஸ் 35,476 புள்ளிகளை கடந்தது. அதுபோலவே தேசிய பங்குச்சந்தையில் நிப்டி 10,887 புள்ளிகளை தொட்டது. ",1
முன்னணி ஸ்மார்ட்போன் இடத்தை பிடிக்க நோக்கியா தீவிரம்,1
2012-ம் ஆண்டில் க்வாட்ரி சைக்கிளை தயாரித்து அதற்கு கியூட் என பெயரிட்டது பஜாஜ். ஆனால் இதற்கு அனுமதி வழங்கக் கூடாது என்று நெடுஞ்சாலை அமைச்சகம் நீதிமன்றத்தில் வழக்கு தொடர்ந்தது. ,1
நான்கு கதவுகளைக்கொண்ட செடான் ரகக்கார்கள் ஒரு முறை சார்ஜ் செய்தால் 120 கி.மீ. முதல் 150 கி.மீ தூரம் ஓடக் கூடியவையாக உள்ளன. இத்தகைய கார்களை முதல் கட்டமாக வாங்க உள்ளதாக இஇஎஸ்எல் நிர்வாக இயக்குநர் சவுரப் குமார் கூறினார்.,1
"பி.டெக் பட்டம் பெற்றவர். நொய்டாவில் உள்ள அமித்தி பிசினஸ் பள்ளியில் மேலாண்மை உயர்கல்வியும், முனைவர் பட்டமும் பெற்றவர். கலிபோர்னியா பல்கலைக் கழகத்தில் மெண்டரிங் ஆலோசகர் பயிற்சி பெற்றவர்.",1
இந்தியாவில் இயற்கை விவசாயம் வேகமாக வளர்ச்சி அடைந்து வருகிறது. முந்தைய காலத்துடன் ஒப்பிடுகையில் இயற்கை வேளாண்மை மற்றும் அது சார்ந்த தொழில்கள் 15 சதவீதம் முதல் 20 சதவீதம் வரை வளர்ச்சி பெற்று வருவதாக ஸ்ரெஸ்டா நேச்சுரல் பயோபுராடெக்ட்ஸ் நிறுவனத்தின் நிர்வாக இயக்குநர் ராஜசேகர ரெட்டி சீலம் தெரிவித்தார்.,1
கடந்த ஆண்டுதான் மஹிந்திரா அண்ட் மஹிந்திரா நிறுவனம் இங்கிலாந்தின் பிரபலமான பிஎஸ்ஏ மோட்டார் சைக்கிள் நிறுவனத்தில் 1.2 லட்சம் பங்குகளை 34 லட்சம் பவுண்ட் (₹28 கோடி) விலை கொடுத்து வாங்கியது. அதாவது ஒரு பங்கு விலை 28.33 என்ற விலையில் இந்நிறுவனம் வாங்கியது.,1
"# வாழ்க்கையில் நமது அணுகுமுறைகளின் நம்பமுடியாத தாக்கத்தை, வார்த்தைகளால் ஒருபோதும் போதுமான அளவிற்கு வெளிபடுத்த முடியாது. ",1
"டெல்லியில் சுற்றுச் சூழல் மாசைக் கட்டுப்படுத்த 2,000 சிசி திறனுக்கு மேலான கார்கள் விற்பனை செய்ய தடை விதிக்கப்பட்டுள்ளது. இதே பாணியில் அண்டை நாடான இலங்கை, புதிய கார்களை இறக்குமதி செய்ய கட்டுப்பாடுகளை விதித்துள்ளது. அங் கேயும் எஸ்யூவி ரக கார்களுக்கு அதிக இறக்குமதி வரி விதிக்கப்பட்டுள்ளது.",1
ரூ.333 கோடி செலவில் பிஎஸ்என்எல் நிறுவனத்தின்3ஜி மொபைல் சேவை விரிவாக்கம்,1
3 நாட்கள் நடைபெற உள்ள கருத்தரங்கு நேற்று நோவோ டெல் நட்சத்திர ஹோட்டலில் தொடங்கியது. கருத்தரங்கை தொடங்கி வைத்து சந்திரபாபு நாயுடு பேசியதாவது: பெண்கள் அனைத்து துறையிலும் முன்னேறி வருவது மகிழ்ச்சியாக உள்ளது. ,1
• 1986-ம் ஆண்டு ஐபிஎம் நிறுவனத்தில் பணிக்குச் சேர்ந்தவர்.,1
"சில நாட்களுக்கு முன்பு செயல்படாத 2.09 லட்சம் நிறுவனங்களின் உரிமத்தை ரத்து செய்ததை அடுத்து, இயக்குநர்களையும் ரத்து செய்திருக்கிறது கம்பெனி விவகாரத்துறை அமைச்சகம். இந்த தடை செய்யப்பட்ட நிறுவனங்களின் வங்கி கணக்கை இயக்குநர்கள் அல்லது அங்கீகாரம் செய்யப்பட்ட நபர்கள் பயன்படுத்துவதும் தடுக்கப் பட்டுள்ளது.",1
மாருதி என்றாலே கார்கள்தான் என்றிருந்த நிலையை மாற்றி பிற வாகனங்களைத் தயாரிக்க அந்நிறுவனம் முயன்று வருகிறது. முதல் கட்டமாக இலகு ரக வர்த்தக வாகனங்களை (எல்சிவி) தயாரித்து சந்தைப்படுத்த அந்நிறுவனம் திட்டமிட்டுள்ளது.,1
"சீனாவின் இண்டஸ்ட்ரியல் அண்ட் கமர்சியல் வங்கி (ஐசிபிசி) அறிக்கை ஒன்றில், அதானி நிலக்கரிச் சுரங்கத் திட்டத்துக்கு கடன் அளிக்கும் திட்டமில்லை என்று தெளிவுபடுத்தியுள்ளது.",1
"மொபைல் போன் உதவியோடு இந்த பஸ்ஸில் நீங்கள் ஏறி, இறங்க முடியும். வழக்கமான பஸ் போலல்லாது உங்கள் வீட்டிலிருந்து அலுவலகத்துக்குச் செல்வதற்கு இதைப் பயன்படுத்தலாம்.",1
"5ஜி தொழில்நுட்பத்துக்கான இந்த குழு அமைச்சகங்களின் செயலர்களை உள்ளடக்கியதாக இருக்கும். குறிப்பாக தொலைத் தொடர்பு செயலர், மின்னணு மற்றும் தகவல் தொழில்நுட்பம், அறிவியல் மற்றும் தொழில்நுட்ப அமைச்சக செயலர்கள் இந்தக் குழுவில் இடம் பெறுவர். -பிடிஐ",1
 நாராயணமூர்த்தியிடம் இன்ஃபோசிஸ் நிறுவனம் மன்னிப்பு கேட்க வேண்டும் என நிறுவனத்தின் முன்னாள் தலைமை நிதி அதிகாரி மோகன்தாஸ் பாய் கூறியிருக்கிறார்.,1
பெஸோஸின் பெரும்பாலான சொத்து மதிப்பு அவர் வைத்திருக்கும் 78.9 மில்லியன் அமேசான் பங்குகளை வைத்தே வந்துள்ளது. ,1
 நடப்பு நிதி ஆண்டில் சந்தையில் திரட்டப்படும் நிதிக்கு இலக்கு நிர்ணயம் செய்யப்பட்டிருக்கிறது. இந்த எல்லையை தாண்டி சந்தையில் நிதி திரட்டப்பட மாட்டது என பொருளாதார விவகாரங்களுக்கான செயலாளர் சுபாஷ் சந்திர கார்க் தெரிவித்தார்.,1
அவரோடு பேசியதில் இந்த தொழிலை சென்னையில் தொடங்கலாம் என முடிவு செய்தேன். கையில் மூலதனமில்லை தினசரி வட்டிக்கு 40 ஆயிரம் வாங்கி தண்டையார்பேட்டையில் ஒரு வீட்டை வாடகைக்கு பிடித்து தொழிலை தொடங்கினேன்.,1
# கலாசாரமானது மக்கள் ஒருவரையொருவர் சிறப்பாக புரிந்து கொள்ள உதவுகின்றது.,1
பருப்புகளின் ஆயுள்காலம் மிகக் குறைவு என்பதால் கையிருப்பில் உள்ளவற்றை விரைவாக விநியோகிக்கும் நடவடிக்கைகள் எடுக்கப்படும். கடந்த ஆண்டில் மழை நன்கு பெய்ததால் பருப்பு உற்பத்தி 2.2 கோடி டன் அளவுக்கு அதிகரித்தது என்றும் பாஸ்வான் கூறினார்.,1
" ஒவ்வொரு ஒரு மணி நேரத்துக்கும் 80,000 ஜிஎஸ்டிஆர் - 3பி வரித்தாக்கல் படிவங்கள் ஆன்லைன் மூலமாக பதிவேற்றப்பட்டு வருவதாக ஜிஎஸ்டிஎன் தலைவர் அஜய் பூஷன் பாண்டே தெரிவித்துள்ளார். ",1
வருமான வரி கணக்கு தாக்கல் செய்பவர்களின் உதவிக்காக புதிய ஹெல்ப்லைன் எண் அறிவிக்கப்பட்டுள்ளது.,1
இதேபோல ரெனால்ட் நிறுவனம் தனது க்விட் மார்வெல் சிறப்பு பதிப்பு கார் குறித்த விமர்சனங்களை இளைஞர்களைக் கவரும் வகையில் பதிவு செய்திருந்தது. சாகசப் பிரியர்களைக் கவரும் வகையில் நிகழ்ச்சிக்கு ஏற்பாடு செய்திருந்தது. இது இன்ஸ்டா கிராமில் வெளியானது.,1
"இதனால் பல கார் நிறுவனங்களும் தங்கள் தயாரிப்புகளின் விலையை உயர்த்தியுள்ளன. இந்நிலையில், ஜெர்மனி நாட்டின் முன்னணி கார் தயாரிப்பு நிறுவனமான ‘ஆடி’யும் தனது தயாரிப்புகளின் விலை உயர்த்தியுள்ளது.",1
ஆந்திர வங்கியில் கடந்த ஆண்டு நிகழ்ந்த நிதி மோசடி தொடர்பாக அமலாக்கத்துறை வங்கியின் முன்னாள் இயக்குநர் மீது வழக்கு பதிவு செய்துள்ளது. இதன் காரணமாக வங்கிப் பங்குகள் கடந்த 15 ஆண்டுகளில் இல்லாத அளவுக்கு கடுமையான சரிவை சந்தித்து.,1
கடந்த மாதம் மத்திய நிதி அமைச்சர் தலைமையிலான வங்கித் தலைவர்கள் சந்திப்பு நிகழ்ந்தது. அப்போது வங்கிக் கிளைகளை சீரமைப்பது தொடர்பான விவகாரம் ஆலோசிக்கப்பட்டது. அதன் தொடர்ச்சியாக இந்த நடவடிக்கை மேற்கொள்ளப்பட்டதாக மேத்தா குறிப் பிட்டார்.,1
விர்ஜினியா கல்வி நிறுவனத்தில் நிதித்துறையில் இளநிலை பட்டமும் பாம்பின் மாகாண கல்லூரியில் எம்பிஏ பட்டம் பெற்றவர்.,1
இதற்கான உண்மை கார ணம் என்ன தெரியுமா இதைக் கண் டறியும் முயற்சியில் கொல்கத்தாவின் ஐஐஎம் நடத்திய ஆய்வில் ஒரு மாநில பட்ஜெட் தொகையே புகையில் கரைந்து வீணாவது தெரியவந்துள்ளது.,1
ஆனால் இப்படி ஒரு சோதனை நடந்ததே தங்களுக்குத் தெரியாது என மூன்று நிறுவனங்களும் கோரஸாக மறுத்துள்ளன. ``எங்களுக்கே இது அதிர்ச்சியாக இருக்கிறது. இதுபோன்ற சோதனைகள் நடத்தப்படுவதை நாங்கள் கண்டிக்கிறோம்'' என டெய்ம்லர் நிறுவனம் கூறியுள்ளது.,1
முதல் முறையாக 35000 புள்ளியை கடந்தது சென்செக்ஸ்: நிப்டியும் 10800 புள்ளியை தொட்டது ,1
ஜவுளித் தொழிலை ஊக்குவிக்க குறிப்பாக ஆயத்த ஆடை துறையை மேம்படுத்த ரூ 6 ஆயிரம் கோடியை மத்திய அரசு ஒதுக்கியுள்ளது என்று ஜவுளித்துறை அமைச்சர் ஸ்மிருதி இராணி தெரிவித்தார்.,1
"ஆனால் நேற்றைய வர்த்தகத்தின் முடிவில் டிசிஎஸ் மீண்டும் இரண்டாம் இடத்தை பிடித்தது.டிசிஎஸ் மற்றும் ஹெச்டிஎப்சி வங்கி ஆகிய இரு நிறுவனங்களுக்கு இடையே சந்தை மதிப்பு அடிப்படையில் சுமார் ரூ.2,500 கோடி வித்தியாசம் இருக்கிறது.",1
நல்ல வேளை ஐஐஎம் தேர்வில் வெற்றிபெறவில்லை: நந்தன் நிலகேணி கருத்து,1
உங்களுக்கு அரிய பதவி உயர்வு கிடைப்பதாக வைத்துக் கொள்ளுங்கள்.,1
கடந்த காலங்களில் பல கமிட்டிகள் நிறுவனங்கள் முதலீட்டாளர்களை கமாடிட்டி சந்தையில் வர்த்தகம் செய்வதற்கு அனுமதிக்க வேண்டும் என பரிந்துரைகளை வழங்கின. செபியும் அனைத்து பங்குதாரர்களிடமும் பேச்சு வார்த்தை நடத்தியது. இந்த நிலையில் அனுமதி தொடர்பான அறிக்கையை செபி வெளியிட்டிருக்கிறது.,1
இந்தியா தற்போது 144 கோடி கிலோ ஃபைபரை உற்பத்தி செய்கிறது. இதேபோல 300 கோடி கிலோ ஃபிளமென்ட் இழையை உற்பத்தி செய்கிறது.,1
ஜனவரி 31-ம் தேதி வரை முதலீடு செய்தவர்களுக்கு நீண்டகால மூலதன ஆதாய வரியில் இருந்து விலக்கு அளிக்கப்படுவதாகவும் அமைச்சர் அறிவித்தார். தவிர மியூச்சுவல் பண்ட்களுக்கு கிடைக்கும் டிவிடெண்ட்களுக்கும் 10 சதவீத வரி விதிக்கப்படும் என அறிவிக்கப்பட்டிருக்கிறது.,1
"ஒரு முறை உங்கள் காரை தண்ணீரால் கழுவ குறைந்தது 120 லிட்டர் தண்ணீர் தேவைப்படும் என்ற தகவல் எத்தனை பேருக்குத் தெரியும். சர்வீசுஸுக்கு விட்டுவிட்டு வந்த பிறகு, எவ்வளவு பில் தொகை வருகிறதோ அதை பணமாகவோ அல்லது கிரெடிட் கார்டு மூலமோ செலுத்திவிட்டு காரை எடுத்து வருவதுதான் நம்மில் பலரது பழக்கம்.",1
ஏலத்துக்கு வருகிறது ஹிட்லரின் மெர்சிடஸ் பென்ஸ்,1
